"TimeCreated","Id","LevelDisplayName","ProviderName","Message"
"19-08-2026 13:49:36","101","Information","Tracking Agent","Generating a full inventory"
"19-08-2026 12:37:03","17","Information","Schedule Agent","POST: Scheduled ""Upload Client Files for SYSTEM {9cd800db-6301-4901-b1ca-e0a58cf0f706}"" in native scheduler"
"19-08-2026 12:37:03","17","Information","Schedule Agent","POST: Scheduled ""Update Machine Policy for SYSTEM {30c8899c-9eab-4f07-9160-d8610b27f67f}"" in native scheduler"
"19-08-2026 12:37:03","17","Information","Schedule Agent","POST: Scheduled ""Generate Inventory for SYSTEM {de9cddcd-53ac-4796-b02c-f00764f00a1f}"" in native scheduler"
"19-08-2026 12:33:04","17","Information","Schedule Agent","POST: Scheduled ""Upload Client Files for SYSTEM {9cd800db-6301-4901-b1ca-e0a58cf0f706}"" in native scheduler"
"19-08-2026 12:33:04","17","Information","Schedule Agent","POST: Scheduled ""Update Machine Policy for SYSTEM {30c8899c-9eab-4f07-9160-d8610b27f67f}"" in native scheduler"
"19-08-2026 12:33:04","17","Information","Schedule Agent","POST: Scheduled ""Generate Inventory for SYSTEM {de9cddcd-53ac-4796-b02c-f00764f00a1f}"" in native scheduler"
"19-08-2026 10:01:33","1","Error","Schedule Agent","POST: Failed to restore schedule: Default Machine Schedule
"
"19-08-2026 00:26:05","1","Error","Schedule Agent","POST: Failed to restore schedule: Default Machine Schedule
"
"18-08-2026 14:31:18","17","Information","Schedule Agent","POST: Scheduled ""Upload Client Files for SYSTEM {9cd800db-6301-4901-b1ca-e0a58cf0f706}"" in native scheduler"
"18-08-2026 14:31:18","17","Information","Schedule Agent","POST: Scheduled ""Update Machine Policy for SYSTEM {30c8899c-9eab-4f07-9160-d8610b27f67f}"" in native scheduler"
"18-08-2026 14:31:18","17","Information","Schedule Agent","POST: Scheduled ""Generate Inventory for SYSTEM {de9cddcd-53ac-4796-b02c-f00764f00a1f}"" in native scheduler"
"18-08-2026 14:31:15","17","Information","Schedule Agent","POST: Scheduled ""Upload Client Files for SYSTEM {9cd800db-6301-4901-b1ca-e0a58cf0f706}"" in native scheduler"
"18-08-2026 14:31:15","17","Information","Schedule Agent","POST: Scheduled ""Update Machine Policy for SYSTEM {30c8899c-9eab-4f07-9160-d8610b27f67f}"" in native scheduler"
"18-08-2026 14:31:15","17","Information","Schedule Agent","POST: Scheduled ""Generate Inventory for SYSTEM {de9cddcd-53ac-4796-b02c-f00764f00a1f}"" in native scheduler"
"18-08-2026 14:31:15","17","Information","Schedule Agent","POST: Scheduled ""Upload Client Files for SYSTEM {9cd800db-6301-4901-b1ca-e0a58cf0f706}"" in native scheduler"
"18-08-2026 14:31:15","17","Information","Schedule Agent","POST: Scheduled ""Update Machine Policy for SYSTEM {30c8899c-9eab-4f07-9160-d8610b27f67f}"" in native scheduler"
"18-08-2026 14:31:15","17","Information","Schedule Agent","POST: Scheduled ""Generate Inventory for SYSTEM {de9cddcd-53ac-4796-b02c-f00764f00a1f}"" in native scheduler"
"18-08-2026 13:51:18","101","Information","Tracking Agent","Generating a full inventory"
"18-08-2026 12:33:03","17","Information","Schedule Agent","POST: Scheduled ""Upload Client Files for SYSTEM {9cd800db-6301-4901-b1ca-e0a58cf0f706}"" in native scheduler"
"18-08-2026 12:33:03","17","Information","Schedule Agent","POST: Scheduled ""Update Machine Policy for SYSTEM {30c8899c-9eab-4f07-9160-d8610b27f67f}"" in native scheduler"
"18-08-2026 12:33:03","17","Information","Schedule Agent","POST: Scheduled ""Generate Inventory for SYSTEM {de9cddcd-53ac-4796-b02c-f00764f00a1f}"" in native scheduler"
"18-08-2026 12:20:04","17","Information","Schedule Agent","POST: Scheduled ""Upload Client Files for SYSTEM {9cd800db-6301-4901-b1ca-e0a58cf0f706}"" in native scheduler"
"18-08-2026 12:20:04","17","Information","Schedule Agent","POST: Scheduled ""Update Machine Policy for SYSTEM {30c8899c-9eab-4f07-9160-d8610b27f67f}"" in native scheduler"
"18-08-2026 12:20:04","17","Information","Schedule Agent","POST: Scheduled ""Generate Inventory for SYSTEM {de9cddcd-53ac-4796-b02c-f00764f00a1f}"" in native scheduler"
"18-08-2026 10:29:18","17","Information","Schedule Agent","POST: Scheduled ""Upload Client Files for SYSTEM {9cd800db-6301-4901-b1ca-e0a58cf0f706}"" in native scheduler"
"18-08-2026 10:29:18","17","Information","Schedule Agent","POST: Scheduled ""Update Machine Policy for SYSTEM {30c8899c-9eab-4f07-9160-d8610b27f67f}"" in native scheduler"
"18-08-2026 10:29:18","17","Information","Schedule Agent","POST: Scheduled ""Generate Inventory for SYSTEM {de9cddcd-53ac-4796-b02c-f00764f00a1f}"" in native scheduler"
"18-08-2026 10:29:14","17","Information","Schedule Agent","POST: Scheduled ""Upload Client Files for SYSTEM {9cd800db-6301-4901-b1ca-e0a58cf0f706}"" in native scheduler"
"18-08-2026 10:29:14","17","Information","Schedule Agent","POST: Scheduled ""Update Machine Policy for SYSTEM {30c8899c-9eab-4f07-9160-d8610b27f67f}"" in native scheduler"
"18-08-2026 10:29:14","17","Information","Schedule Agent","POST: Scheduled ""Generate Inventory for SYSTEM {de9cddcd-53ac-4796-b02c-f00764f00a1f}"" in native scheduler"
"18-08-2026 10:29:14","17","Information","Schedule Agent","POST: Scheduled ""Upload Client Files for SYSTEM {9cd800db-6301-4901-b1ca-e0a58cf0f706}"" in native scheduler"
"18-08-2026 10:29:13","17","Information","Schedule Agent","POST: Scheduled ""Update Machine Policy for SYSTEM {30c8899c-9eab-4f07-9160-d8610b27f67f}"" in native scheduler"
"18-08-2026 10:29:13","17","Information","Schedule Agent","POST: Scheduled ""Generate Inventory for SYSTEM {de9cddcd-53ac-4796-b02c-f00764f00a1f}"" in native scheduler"
"18-08-2026 09:45:51","1","Error","Schedule Agent","POST: Failed to restore schedule: Default Machine Schedule
"
"18-08-2026 06:22:52","1","Error","Schedule Agent","POST: Failed to restore schedule: Default Machine Schedule
"
"17-08-2026 13:52:22","101","Information","Tracking Agent","Generating a full inventory"
"17-08-2026 12:43:04","17","Information","Schedule Agent","POST: Scheduled ""Upload Client Files for SYSTEM {9cd800db-6301-4901-b1ca-e0a58cf0f706}"" in native scheduler"
"17-08-2026 12:43:04","17","Information","Schedule Agent","POST: Scheduled ""Update Machine Policy for SYSTEM {30c8899c-9eab-4f07-9160-d8610b27f67f}"" in native scheduler"
"17-08-2026 12:43:04","17","Information","Schedule Agent","POST: Scheduled ""Generate Inventory for SYSTEM {de9cddcd-53ac-4796-b02c-f00764f00a1f}"" in native scheduler"
"17-08-2026 09:55:09","101","Information","Tracking Agent","Generating a full inventory"
"17-08-2026 09:41:37","1","Error","Schedule Agent","POST: Failed to restore schedule: Default Machine Schedule
"
"15-08-2026 05:11:33","1","Error","Schedule Agent","POST: Failed to restore schedule: Default Machine Schedule
"
"14-08-2026 13:52:34","101","Information","Tracking Agent","Generating a full inventory"
"14-08-2026 13:27:29","1","Error","Schedule Agent","POST: Failed to restore schedule: Default Machine Schedule
"
"14-08-2026 13:22:41","1","Error","Schedule Agent","POST: Failed to restore schedule: Default Machine Schedule
"
"14-08-2026 04:14:31","1","Error","Uploading Agent","Upload failed due to a client connection issue.  This server will not be retried during this upload session.
Upload failed due to a client connection issue.  This server will not be retried during this upload session.
Upload failed due to a client connection issue.  This server will not be retried during this upload session.
Upload failed due to a client connection issue.  This server will not be retried during this upload session.
Upload failed due to a client connection issue.  This server will not be retried during this upload session.
Upload failed due to a client connection issue.  This server will not be retried during this upload session.
Upload failed due to a client connection issue.  This server will not be retried during this upload session.
WARNING: FlexNet Manager Platform has failed to upload a file to all configured upload servers; aborting attempt to upload these file(s)
Program exited with code 1
"
"14-08-2026 04:14:22","1","Error","Schedule Agent","POST: Failed to restore schedule: Default Machine Schedule
"
"13-08-2026 13:52:16","101","Information","Tracking Agent","Generating a full inventory"
"13-08-2026 12:43:04","17","Information","Schedule Agent","POST: Scheduled ""Upload Client Files for SYSTEM {9cd800db-6301-4901-b1ca-e0a58cf0f706}"" in native scheduler"
"13-08-2026 12:43:04","17","Information","Schedule Agent","POST: Scheduled ""Update Machine Policy for SYSTEM {30c8899c-9eab-4f07-9160-d8610b27f67f}"" in native scheduler"
"13-08-2026 12:43:04","17","Information","Schedule Agent","POST: Scheduled ""Generate Inventory for SYSTEM {de9cddcd-53ac-4796-b02c-f00764f00a1f}"" in native scheduler"
"13-08-2026 12:29:00","1","Error","Schedule Agent","POST: Failed to restore schedule: Default Machine Schedule
"
"13-08-2026 11:58:11","1","Error","Schedule Agent","POST: Failed to restore schedule: Default Machine Schedule
"
"13-08-2026 09:18:36","1","Error","Schedule Agent","POST: Failed to restore schedule: Default Machine Schedule
"
"13-08-2026 09:14:27","17","Information","Schedule Agent","POST: Scheduled ""Upload Client Files for SYSTEM {9cd800db-6301-4901-b1ca-e0a58cf0f706}"" in native scheduler"
"13-08-2026 09:14:27","17","Information","Schedule Agent","POST: Scheduled ""Update Machine Policy for SYSTEM {30c8899c-9eab-4f07-9160-d8610b27f67f}"" in native scheduler"
"13-08-2026 09:14:27","17","Information","Schedule Agent","POST: Scheduled ""Generate Inventory for SYSTEM {de9cddcd-53ac-4796-b02c-f00764f00a1f}"" in native scheduler"
"13-08-2026 09:14:24","17","Information","Schedule Agent","POST: Scheduled ""Upload Client Files for SYSTEM {9cd800db-6301-4901-b1ca-e0a58cf0f706}"" in native scheduler"
"13-08-2026 09:14:24","17","Information","Schedule Agent","POST: Scheduled ""Update Machine Policy for SYSTEM {30c8899c-9eab-4f07-9160-d8610b27f67f}"" in native scheduler"
"13-08-2026 09:14:24","17","Information","Schedule Agent","POST: Scheduled ""Generate Inventory for SYSTEM {de9cddcd-53ac-4796-b02c-f00764f00a1f}"" in native scheduler"
"13-08-2026 09:13:58","1","Error","Schedule Agent","POST: Failed to restore schedule: Default Machine Schedule
"
