"TimeCreated","Id","LevelDisplayName","ProviderName","Message"
"17-08-2026 10:03:02","104","Information","Microsoft-Windows-Diagnosis-Scripted","The scripted diagnostic engine completed diagnosing the diagnostic package MaintenanceDiagnostic."
"17-08-2026 10:02:58","103","Information","Microsoft-Windows-Diagnosis-Scripted","The scripted diagnostic engine started diagnosing the diagnostic package MaintenanceDiagnostic."
"17-08-2026 10:02:58","102","Information","Microsoft-Windows-Diagnosis-Scripted","The scripted diagnostic engine completed initializing a diagnostic package located at C:\Windows\diagnostics\scheduled\Maintenance."
"17-08-2026 10:02:57","101","Information","Microsoft-Windows-Diagnosis-Scripted","The scripted diagnostic engine started initializing a diagnostic package located at C:\Windows\diagnostics\scheduled\Maintenance."
"10-08-2026 10:21:28","104","Information","Microsoft-Windows-Diagnosis-Scripted","The scripted diagnostic engine completed diagnosing the diagnostic package MaintenanceDiagnostic."
"10-08-2026 10:21:26","103","Information","Microsoft-Windows-Diagnosis-Scripted","The scripted diagnostic engine started diagnosing the diagnostic package MaintenanceDiagnostic."
"10-08-2026 10:21:26","102","Information","Microsoft-Windows-Diagnosis-Scripted","The scripted diagnostic engine completed initializing a diagnostic package located at C:\Windows\diagnostics\scheduled\Maintenance."
"10-08-2026 10:21:26","101","Information","Microsoft-Windows-Diagnosis-Scripted","The scripted diagnostic engine started initializing a diagnostic package located at C:\Windows\diagnostics\scheduled\Maintenance."
"03-08-2026 09:40:01","104","Information","Microsoft-Windows-Diagnosis-Scripted","The scripted diagnostic engine completed diagnosing the diagnostic package MaintenanceDiagnostic."
"03-08-2026 09:39:51","103","Information","Microsoft-Windows-Diagnosis-Scripted","The scripted diagnostic engine started diagnosing the diagnostic package MaintenanceDiagnostic."
"03-08-2026 09:39:51","102","Information","Microsoft-Windows-Diagnosis-Scripted","The scripted diagnostic engine completed initializing a diagnostic package located at C:\Windows\diagnostics\scheduled\Maintenance."
"03-08-2026 09:39:51","101","Information","Microsoft-Windows-Diagnosis-Scripted","The scripted diagnostic engine started initializing a diagnostic package located at C:\Windows\diagnostics\scheduled\Maintenance."
"27-07-2026 09:25:14","104","Information","Microsoft-Windows-Diagnosis-Scripted","The scripted diagnostic engine completed diagnosing the diagnostic package MaintenanceDiagnostic."
"27-07-2026 09:25:10","103","Information","Microsoft-Windows-Diagnosis-Scripted","The scripted diagnostic engine started diagnosing the diagnostic package MaintenanceDiagnostic."
"27-07-2026 09:25:10","102","Information","Microsoft-Windows-Diagnosis-Scripted","The scripted diagnostic engine completed initializing a diagnostic package located at C:\Windows\diagnostics\scheduled\Maintenance."
"27-07-2026 09:25:09","101","Information","Microsoft-Windows-Diagnosis-Scripted","The scripted diagnostic engine started initializing a diagnostic package located at C:\Windows\diagnostics\scheduled\Maintenance."
"20-07-2026 11:27:29","104","Information","Microsoft-Windows-Diagnosis-Scripted","The scripted diagnostic engine completed diagnosing the diagnostic package MaintenanceDiagnostic."
"20-07-2026 11:27:29","103","Information","Microsoft-Windows-Diagnosis-Scripted","The scripted diagnostic engine started diagnosing the diagnostic package MaintenanceDiagnostic."
"20-07-2026 11:27:29","102","Information","Microsoft-Windows-Diagnosis-Scripted","The scripted diagnostic engine completed initializing a diagnostic package located at C:\Windows\diagnostics\scheduled\Maintenance."
"20-07-2026 11:27:28","101","Information","Microsoft-Windows-Diagnosis-Scripted","The scripted diagnostic engine started initializing a diagnostic package located at C:\Windows\diagnostics\scheduled\Maintenance."
"20-07-2026 11:27:28","104","Information","Microsoft-Windows-Diagnosis-Scripted","The scripted diagnostic engine completed diagnosing the diagnostic package MaintenanceDiagnostic."
"20-07-2026 11:27:26","103","Information","Microsoft-Windows-Diagnosis-Scripted","The scripted diagnostic engine started diagnosing the diagnostic package MaintenanceDiagnostic."
"20-07-2026 11:27:26","102","Information","Microsoft-Windows-Diagnosis-Scripted","The scripted diagnostic engine completed initializing a diagnostic package located at C:\Windows\diagnostics\scheduled\Maintenance."
"20-07-2026 11:27:26","101","Information","Microsoft-Windows-Diagnosis-Scripted","The scripted diagnostic engine started initializing a diagnostic package located at C:\Windows\diagnostics\scheduled\Maintenance."
