"TimeCreated","Id","LevelDisplayName","ProviderName","Message"
"19-08-2026 15:00:20","1002","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector stopped."
"19-08-2026 14:21:32","1001","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector started."
"19-08-2026 10:15:20","1002","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector stopped."
"18-08-2026 18:01:04","1001","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector started."
"18-08-2026 15:10:54","1002","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector stopped."
"18-08-2026 14:45:56","1001","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector started."
"18-08-2026 14:31:21","1001","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector started."
"18-08-2026 14:20:33","1002","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector stopped."
"18-08-2026 10:29:38","1001","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector started."
"18-08-2026 10:28:21","1002","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector stopped."
"18-08-2026 10:28:21","1002","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector stopped."
"14-08-2026 17:17:04","1001","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector started."
"14-08-2026 16:40:48","1002","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector stopped."
"13-08-2026 15:18:37","1001","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector started."
"13-08-2026 14:43:30","1002","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector stopped."
"13-08-2026 13:13:35","1001","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector started."
"11-08-2026 12:07:09","1001","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector started."
"11-08-2026 12:01:58","1002","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector stopped."
"10-08-2026 10:16:04","1002","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector stopped."
"10-08-2026 09:51:06","1001","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector started."
"10-08-2026 09:41:30","1001","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector started."
"07-08-2026 18:21:22","1003","Warning","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector received a notification that the computer is low on virtual memory."
"05-08-2026 12:18:12","1001","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector started."
"05-08-2026 12:16:08","1002","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector stopped."
"05-08-2026 10:48:11","1001","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector started."
"05-08-2026 10:46:08","1002","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector stopped."
"04-08-2026 15:03:36","1001","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector started."
"04-08-2026 09:30:42","1002","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector stopped."
"04-08-2026 09:13:20","1001","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector started."
"03-08-2026 10:21:05","1002","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector stopped."
"03-08-2026 09:51:07","1001","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector started."
"03-08-2026 09:26:20","1001","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector started."
"31-07-2026 12:39:24","1002","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector stopped."
"31-07-2026 12:19:35","1001","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector started."
"31-07-2026 09:45:10","1001","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector started."
"31-07-2026 09:43:45","1002","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector stopped."
"31-07-2026 09:43:45","1002","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector stopped."
"30-07-2026 14:52:26","1001","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector started."
"30-07-2026 13:30:21","1002","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector stopped."
"28-07-2026 16:27:34","1001","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector started."
"28-07-2026 16:10:32","1002","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector stopped."
"28-07-2026 13:07:32","1001","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector started."
"28-07-2026 12:25:32","1002","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector stopped."
"28-07-2026 11:57:29","1001","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector started."
"27-07-2026 14:18:12","1002","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector stopped."
"27-07-2026 13:49:28","1001","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector started."
"27-07-2026 11:49:36","1001","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector started."
"27-07-2026 11:48:44","1002","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector stopped."
"27-07-2026 09:44:19","1001","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector started."
"27-07-2026 09:33:46","1002","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector stopped."
"27-07-2026 09:33:46","1002","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector stopped."
"24-07-2026 17:14:38","1001","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector started."
"24-07-2026 16:53:04","1002","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector stopped."
"24-07-2026 12:19:33","1001","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector started."
"22-07-2026 14:44:57","1002","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector stopped."
"22-07-2026 14:17:49","1001","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector started."
"22-07-2026 11:44:57","1002","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector stopped."
"22-07-2026 11:22:39","1001","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector started."
"21-07-2026 08:44:55","1001","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector started."
"21-07-2026 08:43:35","1002","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector stopped."
"21-07-2026 08:43:35","1002","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector stopped."
"21-07-2026 08:37:08","1001","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector started."
"21-07-2026 07:23:05","1002","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector stopped."
"15-07-2026 15:55:34","1001","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector started."
"15-07-2026 15:41:40","1002","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector stopped."
"14-07-2026 17:26:29","1001","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector started."
"14-07-2026 17:08:04","1002","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector stopped."
"14-07-2026 16:31:27","1001","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector started."
"14-07-2026 16:23:04","1002","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector stopped."
"14-07-2026 15:46:26","1001","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector started."
"14-07-2026 15:38:04","1002","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector stopped."
"14-07-2026 15:11:25","1001","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector started."
"14-07-2026 15:08:04","1002","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector stopped."
"14-07-2026 14:41:24","1001","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector started."
"14-07-2026 13:53:04","1002","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector stopped."
"14-07-2026 10:11:21","1001","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector started."
"14-07-2026 10:08:03","1002","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector stopped."
"14-07-2026 09:41:19","1001","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector started."
"13-07-2026 19:57:05","1002","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector stopped."
"13-07-2026 18:48:45","1001","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector started."
"12-07-2026 18:32:30","1001","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector started."
"12-07-2026 18:31:23","1002","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector stopped."
"12-07-2026 18:31:23","1002","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector stopped."
"09-07-2026 09:48:41","1001","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector started."
"08-07-2026 10:47:23","1002","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector stopped."
"08-07-2026 10:23:14","1001","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector started."
"07-07-2026 09:28:38","1001","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector started."
"07-07-2026 09:27:49","1002","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector stopped."
"07-07-2026 09:27:49","1002","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector stopped."
"07-07-2026 09:22:11","1001","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector started."
"04-07-2026 14:13:05","1001","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector started."
"04-07-2026 14:12:10","1002","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector stopped."
"03-07-2026 11:22:27","1001","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector started."
"03-07-2026 11:19:46","1002","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector stopped."
"03-07-2026 11:19:46","1002","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector stopped."
"02-07-2026 19:26:54","1001","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector started."
"02-07-2026 18:20:50","1002","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector stopped."
"02-07-2026 12:01:49","1001","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector started."
"01-07-2026 15:18:17","1002","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector stopped."
"01-07-2026 14:58:32","1001","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector started."
"01-07-2026 10:10:26","1001","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector started."
"01-07-2026 10:07:45","1002","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector stopped."
"01-07-2026 10:07:45","1002","Information","Microsoft-Windows-Resource-Exhaustion-Detector","The Windows Resource Exhaustion Detector stopped."
