"TimeCreated","Id","LevelDisplayName","ProviderName","Message"
"18-08-2026 14:33:22","67","Information","Microsoft-Windows-User Profiles Service","Logon type: Regular 
Local profile location: C:\Users\arjo5004.T1 
Profile type: Regular"
"18-08-2026 14:33:22","5","Information","Microsoft-Windows-User Profiles Service","Registry file C:\Users\arjo5004.T1\AppData\Local\Microsoft\Windows\\UsrClass.dat is loaded at HKU\S-1-12-1-4220155720-1073834589-1054805678-3526012841_Classes."
"18-08-2026 14:33:22","5","Information","Microsoft-Windows-User Profiles Service","Registry file C:\Users\arjo5004.T1\ntuser.dat is loaded at HKU\S-1-12-1-4220155720-1073834589-1054805678-3526012841."
"18-08-2026 14:31:20","2","Information","Microsoft-Windows-User Profiles Service","Finished processing user logon notification on session 1."
"18-08-2026 14:31:20","67","Information","Microsoft-Windows-User Profiles Service","Logon type: Regular 
Local profile location: C:\Users\arjo5004 
Profile type: Regular"
"18-08-2026 14:31:20","5","Information","Microsoft-Windows-User Profiles Service","Registry file C:\Users\arjo5004\AppData\Local\Microsoft\Windows\\UsrClass.dat is loaded at HKU\S-1-12-1-2357405129-1281513531-255772574-1816207334_Classes."
"18-08-2026 14:31:20","5","Information","Microsoft-Windows-User Profiles Service","Registry file C:\Users\arjo5004\ntuser.dat is loaded at HKU\S-1-12-1-2357405129-1281513531-255772574-1816207334."
"18-08-2026 14:31:20","1","Information","Microsoft-Windows-User Profiles Service","Recieved user logon notification on session 1."
"18-08-2026 14:30:54","67","Information","Microsoft-Windows-User Profiles Service","Logon type: Regular 
Local profile location: C:\Windows\ServiceProfiles\SQLTELEMETRY$BARTENDER 
Profile type: Regular"
"18-08-2026 14:30:54","5","Information","Microsoft-Windows-User Profiles Service","Registry file C:\Windows\ServiceProfiles\SQLTELEMETRY$BARTENDER\AppData\Local\Microsoft\Windows\\UsrClass.dat is loaded at HKU\S-1-5-80-1421082958-2220363263-3887300755-450899232-919288563_Classes."
