"TimeCreated","Id","LevelDisplayName","ProviderName","Message"
"19-08-2026 14:18:54","800","Information","PowerShell","Pipeline execution details for command line:         Add-Type -AssemblyName System.IO.Compression.FileSystem
. 

Context Information: 
	DetailSequence=1
	DetailTotal=1

	SequenceNumber=12234

	UserId=ENTERPRISE\arjo5004.T1
	HostName=ConsoleHost
	HostVersion=5.1.26100.8875
	HostId=923c93f5-68a1-4cf1-9713-07f4ede71a2c
	HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
	EngineVersion=5.1.26100.8875
	RunspaceId=f697cada-ed42-483c-9f02-38b77bf6eb4d
	PipelineId=63
	ScriptName=C:\Windows\system32\WindowsPowerShell\v1.0\Modules\Microsoft.PowerShell.Archive\Microsoft.PowerShell.Archive.psm1
	CommandLine=        Add-Type -AssemblyName System.IO.Compression.FileSystem
 

Details: 
CommandInvocation(Add-Type): ""Add-Type""
ParameterBinding(Add-Type): name=""AssemblyName""; value=""System.IO.Compression.FileSystem""
"
"19-08-2026 14:18:54","800","Information","PowerShell","Pipeline execution details for command line:         Add-Type -AssemblyName System.IO.Compression
. 

Context Information: 
	DetailSequence=1
	DetailTotal=1

	SequenceNumber=12230

	UserId=ENTERPRISE\arjo5004.T1
	HostName=ConsoleHost
	HostVersion=5.1.26100.8875
	HostId=923c93f5-68a1-4cf1-9713-07f4ede71a2c
	HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
	EngineVersion=5.1.26100.8875
	RunspaceId=f697cada-ed42-483c-9f02-38b77bf6eb4d
	PipelineId=63
	ScriptName=C:\Windows\system32\WindowsPowerShell\v1.0\Modules\Microsoft.PowerShell.Archive\Microsoft.PowerShell.Archive.psm1
	CommandLine=        Add-Type -AssemblyName System.IO.Compression
 

Details: 
CommandInvocation(Add-Type): ""Add-Type""
ParameterBinding(Add-Type): name=""AssemblyName""; value=""System.IO.Compression""
"
"19-08-2026 14:18:47","800","Information","PowerShell","Pipeline execution details for command line:         Add-Type -Namespace WinAPI -Name Win32 -MemberDefinition @'
. 

Context Information: 
	DetailSequence=1
	DetailTotal=1

	SequenceNumber=12071

	UserId=ENTERPRISE\arjo5004.T1
	HostName=ConsoleHost
	HostVersion=5.1.26100.8875
	HostId=923c93f5-68a1-4cf1-9713-07f4ede71a2c
	HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
	EngineVersion=5.1.26100.8875
	RunspaceId=f697cada-ed42-483c-9f02-38b77bf6eb4d
	PipelineId=63
	ScriptName=C:\Users\arjo5004\AppData\Local\Temp\DiagCollector\Modules\01_TimelineAndResources.ps1
	CommandLine=        Add-Type -Namespace WinAPI -Name Win32 -MemberDefinition @'
 

Details: 
CommandInvocation(Add-Type): ""Add-Type""
ParameterBinding(Add-Type): name=""Namespace""; value=""WinAPI""
ParameterBinding(Add-Type): name=""Name""; value=""Win32""
ParameterBinding(Add-Type): name=""MemberDefinition""; value=""[DllImport(""user32.dll"")] public static extern IntPtr GetForegroundWindow();
[DllImport(""user32.dll"")] public static extern int GetWindowText(IntPtr hWnd, System.Text.StringBuilder text, int count);
[DllImport(""user32.dll"")] public static extern uint GetWindowThreadProcessId(IntPtr hWnd, out uint processId);, ...""
ParameterBinding(Add-Type): name=""ErrorAction""; value=""SilentlyContinue""
"
"19-08-2026 14:18:37","800","Information","PowerShell","Pipeline execution details for command line:         Add-Type -Namespace WinAPI -Name Win32 -MemberDefinition @'
. 

Context Information: 
	DetailSequence=1
	DetailTotal=1

	SequenceNumber=12033

	UserId=ENTERPRISE\arjo5004.T1
	HostName=ConsoleHost
	HostVersion=5.1.26100.8875
	HostId=923c93f5-68a1-4cf1-9713-07f4ede71a2c
	HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
	EngineVersion=5.1.26100.8875
	RunspaceId=f697cada-ed42-483c-9f02-38b77bf6eb4d
	PipelineId=63
	ScriptName=C:\Users\arjo5004\AppData\Local\Temp\DiagCollector\Modules\01_TimelineAndResources.ps1
	CommandLine=        Add-Type -Namespace WinAPI -Name Win32 -MemberDefinition @'
 

Details: 
CommandInvocation(Add-Type): ""Add-Type""
ParameterBinding(Add-Type): name=""Namespace""; value=""WinAPI""
ParameterBinding(Add-Type): name=""Name""; value=""Win32""
ParameterBinding(Add-Type): name=""MemberDefinition""; value=""[DllImport(""user32.dll"")] public static extern IntPtr GetForegroundWindow();
[DllImport(""user32.dll"")] public static extern int GetWindowText(IntPtr hWnd, System.Text.StringBuilder text, int count);
[DllImport(""user32.dll"")] public static extern uint GetWindowThreadProcessId(IntPtr hWnd, out uint processId);, ...""
ParameterBinding(Add-Type): name=""ErrorAction""; value=""SilentlyContinue""
"
"19-08-2026 14:18:27","800","Information","PowerShell","Pipeline execution details for command line:         Add-Type -Namespace WinAPI -Name Win32 -MemberDefinition @'
. 

Context Information: 
	DetailSequence=1
	DetailTotal=1

	SequenceNumber=11995

	UserId=ENTERPRISE\arjo5004.T1
	HostName=ConsoleHost
	HostVersion=5.1.26100.8875
	HostId=923c93f5-68a1-4cf1-9713-07f4ede71a2c
	HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
	EngineVersion=5.1.26100.8875
	RunspaceId=f697cada-ed42-483c-9f02-38b77bf6eb4d
	PipelineId=63
	ScriptName=C:\Users\arjo5004\AppData\Local\Temp\DiagCollector\Modules\01_TimelineAndResources.ps1
	CommandLine=        Add-Type -Namespace WinAPI -Name Win32 -MemberDefinition @'
 

Details: 
CommandInvocation(Add-Type): ""Add-Type""
ParameterBinding(Add-Type): name=""Namespace""; value=""WinAPI""
ParameterBinding(Add-Type): name=""Name""; value=""Win32""
ParameterBinding(Add-Type): name=""MemberDefinition""; value=""[DllImport(""user32.dll"")] public static extern IntPtr GetForegroundWindow();
[DllImport(""user32.dll"")] public static extern int GetWindowText(IntPtr hWnd, System.Text.StringBuilder text, int count);
[DllImport(""user32.dll"")] public static extern uint GetWindowThreadProcessId(IntPtr hWnd, out uint processId);, ...""
ParameterBinding(Add-Type): name=""ErrorAction""; value=""SilentlyContinue""
"
"19-08-2026 14:18:15","800","Information","PowerShell","Pipeline execution details for command line:         Add-Type -Namespace WinAPI -Name Win32 -MemberDefinition @'
. 

Context Information: 
	DetailSequence=1
	DetailTotal=1

	SequenceNumber=11957

	UserId=ENTERPRISE\arjo5004.T1
	HostName=ConsoleHost
	HostVersion=5.1.26100.8875
	HostId=923c93f5-68a1-4cf1-9713-07f4ede71a2c
	HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
	EngineVersion=5.1.26100.8875
	RunspaceId=f697cada-ed42-483c-9f02-38b77bf6eb4d
	PipelineId=63
	ScriptName=C:\Users\arjo5004\AppData\Local\Temp\DiagCollector\Modules\01_TimelineAndResources.ps1
	CommandLine=        Add-Type -Namespace WinAPI -Name Win32 -MemberDefinition @'
 

Details: 
CommandInvocation(Add-Type): ""Add-Type""
ParameterBinding(Add-Type): name=""Namespace""; value=""WinAPI""
ParameterBinding(Add-Type): name=""Name""; value=""Win32""
ParameterBinding(Add-Type): name=""MemberDefinition""; value=""[DllImport(""user32.dll"")] public static extern IntPtr GetForegroundWindow();
[DllImport(""user32.dll"")] public static extern int GetWindowText(IntPtr hWnd, System.Text.StringBuilder text, int count);
[DllImport(""user32.dll"")] public static extern uint GetWindowThreadProcessId(IntPtr hWnd, out uint processId);, ...""
ParameterBinding(Add-Type): name=""ErrorAction""; value=""SilentlyContinue""
"
"19-08-2026 14:18:03","800","Information","PowerShell","Pipeline execution details for command line:         Add-Type -Namespace WinAPI -Name Win32 -MemberDefinition @'
. 

Context Information: 
	DetailSequence=1
	DetailTotal=1

	SequenceNumber=11919

	UserId=ENTERPRISE\arjo5004.T1
	HostName=ConsoleHost
	HostVersion=5.1.26100.8875
	HostId=923c93f5-68a1-4cf1-9713-07f4ede71a2c
	HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
	EngineVersion=5.1.26100.8875
	RunspaceId=f697cada-ed42-483c-9f02-38b77bf6eb4d
	PipelineId=63
	ScriptName=C:\Users\arjo5004\AppData\Local\Temp\DiagCollector\Modules\01_TimelineAndResources.ps1
	CommandLine=        Add-Type -Namespace WinAPI -Name Win32 -MemberDefinition @'
 

Details: 
CommandInvocation(Add-Type): ""Add-Type""
ParameterBinding(Add-Type): name=""Namespace""; value=""WinAPI""
ParameterBinding(Add-Type): name=""Name""; value=""Win32""
ParameterBinding(Add-Type): name=""MemberDefinition""; value=""[DllImport(""user32.dll"")] public static extern IntPtr GetForegroundWindow();
[DllImport(""user32.dll"")] public static extern int GetWindowText(IntPtr hWnd, System.Text.StringBuilder text, int count);
[DllImport(""user32.dll"")] public static extern uint GetWindowThreadProcessId(IntPtr hWnd, out uint processId);, ...""
ParameterBinding(Add-Type): name=""ErrorAction""; value=""SilentlyContinue""
"
"19-08-2026 14:17:51","800","Information","PowerShell","Pipeline execution details for command line:         Add-Type -Namespace WinAPI -Name Win32 -MemberDefinition @'
. 

Context Information: 
	DetailSequence=1
	DetailTotal=1

	SequenceNumber=11881

	UserId=ENTERPRISE\arjo5004.T1
	HostName=ConsoleHost
	HostVersion=5.1.26100.8875
	HostId=923c93f5-68a1-4cf1-9713-07f4ede71a2c
	HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
	EngineVersion=5.1.26100.8875
	RunspaceId=f697cada-ed42-483c-9f02-38b77bf6eb4d
	PipelineId=63
	ScriptName=C:\Users\arjo5004\AppData\Local\Temp\DiagCollector\Modules\01_TimelineAndResources.ps1
	CommandLine=        Add-Type -Namespace WinAPI -Name Win32 -MemberDefinition @'
 

Details: 
CommandInvocation(Add-Type): ""Add-Type""
ParameterBinding(Add-Type): name=""Namespace""; value=""WinAPI""
ParameterBinding(Add-Type): name=""Name""; value=""Win32""
ParameterBinding(Add-Type): name=""MemberDefinition""; value=""[DllImport(""user32.dll"")] public static extern IntPtr GetForegroundWindow();
[DllImport(""user32.dll"")] public static extern int GetWindowText(IntPtr hWnd, System.Text.StringBuilder text, int count);
[DllImport(""user32.dll"")] public static extern uint GetWindowThreadProcessId(IntPtr hWnd, out uint processId);, ...""
ParameterBinding(Add-Type): name=""ErrorAction""; value=""SilentlyContinue""
"
"19-08-2026 14:17:39","800","Information","PowerShell","Pipeline execution details for command line:         Add-Type -Namespace WinAPI -Name Win32 -MemberDefinition @'
. 

Context Information: 
	DetailSequence=1
	DetailTotal=1

	SequenceNumber=11843

	UserId=ENTERPRISE\arjo5004.T1
	HostName=ConsoleHost
	HostVersion=5.1.26100.8875
	HostId=923c93f5-68a1-4cf1-9713-07f4ede71a2c
	HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
	EngineVersion=5.1.26100.8875
	RunspaceId=f697cada-ed42-483c-9f02-38b77bf6eb4d
	PipelineId=63
	ScriptName=C:\Users\arjo5004\AppData\Local\Temp\DiagCollector\Modules\01_TimelineAndResources.ps1
	CommandLine=        Add-Type -Namespace WinAPI -Name Win32 -MemberDefinition @'
 

Details: 
CommandInvocation(Add-Type): ""Add-Type""
ParameterBinding(Add-Type): name=""Namespace""; value=""WinAPI""
ParameterBinding(Add-Type): name=""Name""; value=""Win32""
ParameterBinding(Add-Type): name=""MemberDefinition""; value=""[DllImport(""user32.dll"")] public static extern IntPtr GetForegroundWindow();
[DllImport(""user32.dll"")] public static extern int GetWindowText(IntPtr hWnd, System.Text.StringBuilder text, int count);
[DllImport(""user32.dll"")] public static extern uint GetWindowThreadProcessId(IntPtr hWnd, out uint processId);, ...""
ParameterBinding(Add-Type): name=""ErrorAction""; value=""SilentlyContinue""
"
"19-08-2026 14:17:27","800","Information","PowerShell","Pipeline execution details for command line:         Add-Type -Namespace WinAPI -Name Win32 -MemberDefinition @'
. 

Context Information: 
	DetailSequence=1
	DetailTotal=1

	SequenceNumber=11805

	UserId=ENTERPRISE\arjo5004.T1
	HostName=ConsoleHost
	HostVersion=5.1.26100.8875
	HostId=923c93f5-68a1-4cf1-9713-07f4ede71a2c
	HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
	EngineVersion=5.1.26100.8875
	RunspaceId=f697cada-ed42-483c-9f02-38b77bf6eb4d
	PipelineId=63
	ScriptName=C:\Users\arjo5004\AppData\Local\Temp\DiagCollector\Modules\01_TimelineAndResources.ps1
	CommandLine=        Add-Type -Namespace WinAPI -Name Win32 -MemberDefinition @'
 

Details: 
CommandInvocation(Add-Type): ""Add-Type""
ParameterBinding(Add-Type): name=""Namespace""; value=""WinAPI""
ParameterBinding(Add-Type): name=""Name""; value=""Win32""
ParameterBinding(Add-Type): name=""MemberDefinition""; value=""[DllImport(""user32.dll"")] public static extern IntPtr GetForegroundWindow();
[DllImport(""user32.dll"")] public static extern int GetWindowText(IntPtr hWnd, System.Text.StringBuilder text, int count);
[DllImport(""user32.dll"")] public static extern uint GetWindowThreadProcessId(IntPtr hWnd, out uint processId);, ...""
ParameterBinding(Add-Type): name=""ErrorAction""; value=""SilentlyContinue""
"
