"HotFixID","Description","InstalledBy","InstalledOn"
"KB5123304","Security Update","NT AUTHORITY\SYSTEM","19-08-2026 00:00:00"
"KB5120994","Security Update","NT AUTHORITY\SYSTEM","19-08-2026 00:00:00"
"KB5121768","Security Update","NT AUTHORITY\SYSTEM","28-07-2026 00:00:00"
"KB5101650","Security Update","NT AUTHORITY\SYSTEM","27-07-2026 00:00:00"
"KB5101001","Update","NT AUTHORITY\SYSTEM","27-07-2026 00:00:00"
"KB5120102","Security Update","NT AUTHORITY\SYSTEM","22-07-2026 00:00:00"
"KB2693643","Update","NT AUTHORITY\SYSTEM","23-05-2026 00:00:00"
"KB5050575","Update","NT AUTHORITY\SYSTEM","23-05-2026 00:00:00"
"KB5078674","Update","NT AUTHORITY\SYSTEM","23-05-2026 00:00:00"
"KB5120710","Update","",
