"FriendlyName","Class","Manufacturer","Status","Problem","InstanceId"
,,,"OK","CM_PROB_NONE","HTREE\ROOT\0"
"Intel High Definition Audio",,,"Unknown","CM_PROB_PHANTOM","HDAUDIO\SGPC_FUNC_01&VEN_8086&DEV_281D&SUBSYS_80860101&REV_1000\4&417D3CC&0&0201DIF_000B&UIF_0000"
"USB4 Virtual power coordination device",,,"OK","CM_PROB_NONE","USB4\VIRTUAL_POWER_PDO\4&2B9867FE&0&0"
"DELL U2422HE (3- HD Audio Driver for Display Audio)","AudioEndpoint","Microsoft","Unknown","CM_PROB_PHANTOM","SWD\MMDEVAPI\{0.0.0.00000000}.{C78B6291-923B-4734-B0E3-CB3790D7950E}"
"DELL U2422HE (HD Audio Driver for Display Audio)","AudioEndpoint","Microsoft","OK","CM_PROB_NONE","SWD\MMDEVAPI\{0.0.0.00000000}.{BF0F88AC-F38B-44DF-B277-C478D4972835}"
"Digital Output (Crestron Miracast Receiver)","AudioEndpoint","Microsoft","Unknown","CM_PROB_PHANTOM","SWD\MMDEVAPI\{0.0.0.00000000}.{CDCD83A8-0046-4171-8AC8-C367EB72C1E5}"
"Headphone on SoundWire Device (5- Cirrus Logic XU)","AudioEndpoint","Microsoft","Unknown","CM_PROB_PHANTOM","SWD\MMDEVAPI\{0.0.0.00000000}.{987C4194-3282-4AF6-8FD6-883392922465}"
"Headset Earphone (Dell WH3024 Headset)","AudioEndpoint","Microsoft","Unknown","CM_PROB_PHANTOM","SWD\MMDEVAPI\{0.0.0.00000000}.{BC42209B-3F5B-415A-B455-B15988168434}"
"Headset Earphone (Plantronics Blackwire 3215 Series)","AudioEndpoint","Microsoft","Unknown","CM_PROB_PHANTOM","SWD\MMDEVAPI\{0.0.0.00000000}.{12171FDB-FAA1-48DB-9745-5B9326CA9F76}"
"Headset Earphone (Plantronics Blackwire 3225 Series)","AudioEndpoint","Microsoft","OK","CM_PROB_NONE","SWD\MMDEVAPI\{0.0.0.00000000}.{8BE792FC-74BB-47DB-9561-BE1E35261FBB}"
"Headset Earphone (Plantronics Blackwire 3225 Series)","AudioEndpoint","Microsoft","Unknown","CM_PROB_PHANTOM","SWD\MMDEVAPI\{0.0.0.00000000}.{D7DAFB15-BBEE-4206-ADD7-7FE4FA8CC44E}"
"Headset Microphone (Dell WH3024 Headset)","AudioEndpoint","Microsoft","Unknown","CM_PROB_PHANTOM","SWD\MMDEVAPI\{0.0.1.00000000}.{6590EAB2-2FDF-4B57-93F0-5C213138B6B4}"
"Headset Microphone (Plantronics Blackwire 3215 Series)","AudioEndpoint","Microsoft","Unknown","CM_PROB_PHANTOM","SWD\MMDEVAPI\{0.0.1.00000000}.{06F99BFB-2B02-424E-8E26-951A6063B2B5}"
