"DeviceName","DeviceClass","Manufacturer","DriverVersion","DriverDate","DriverProviderName","IsSigned","InfName"
,,,"",,,"True",
,,,,,,,
,,,"",,,"True",
,,,"2:10.0,2:6.3,2:6.2,2:6.1,2:6.0,2:5.2,2:5.1",,,"True",
,,,"2:10.0,2:6.3,2:6.2,2:6.1,2:6.0,2:5.2,2:5.1",,,"True",
"USB4 Virtual power coordination device",,,,,,,
"Audio Endpoint","AUDIOENDPOINT","Microsoft","10.0.26100.1","31-03-2024 05:30:00","Microsoft","True","audioendpoint.inf"
"Audio Endpoint","AUDIOENDPOINT","Microsoft","10.0.26100.1","31-03-2024 05:30:00","Microsoft","True","audioendpoint.inf"
"Audio Endpoint","AUDIOENDPOINT","Microsoft","10.0.26100.1","31-03-2024 05:30:00","Microsoft","True","audioendpoint.inf"
"Audio Endpoint","AUDIOENDPOINT","Microsoft","10.0.26100.1","31-03-2024 05:30:00","Microsoft","True","audioendpoint.inf"
"Audio Endpoint","AUDIOENDPOINT","Microsoft","10.0.26100.1","31-03-2024 05:30:00","Microsoft","True","audioendpoint.inf"
"Cirrus Logic Enhance APO","AUDIOPROCESSINGOBJECT","Cirrus Logic, Inc.","1.13.6.313","17-12-2024 05:30:00","Cirrus Logic, Inc.","True","oem174.inf"
"Cirrus Logic Enhance APO","AUDIOPROCESSINGOBJECT","Cirrus Logic, Inc.","1.13.6.313","17-12-2024 05:30:00","Cirrus Logic, Inc.","True","oem174.inf"
"intelliGo Audio Processing Object","AUDIOPROCESSINGOBJECT","intelliGo","100.1.4.2740","04-09-2026 05:30:00","intelliGo","True","oem457.inf"
"intelliGo Audio Processing Object","AUDIOPROCESSINGOBJECT","intelliGo","100.1.4.2740","04-09-2026 05:30:00","intelliGo","True","oem457.inf"
"Voice Clarity","AUDIOPROCESSINGOBJECT","Microsoft Corporation","1.0.4.7057","16-06-2026 05:30:00","Microsoft Corporation","True","oem534.inf"
"Microsoft AC Adapter","BATTERY","Microsoft","10.0.26100.8655","21-06-2006 05:30:00","Microsoft","True","cmbatt.inf"
"Microsoft ACPI-Compliant Control Method Battery","BATTERY","Microsoft","10.0.26100.8655","21-06-2006 05:30:00","Microsoft","True","cmbatt.inf"
"Intel(R) Wireless Bluetooth(R)","BLUETOOTH","Intel Corporation","24.50.0.4","05-08-2026 05:30:00","Intel Corporation","True","oem532.inf"
"Camera AI Effect Opt-out","CAMERA","Dell Technologies","1.0.0.1","27-06-2024 05:30:00","Dell Technologies","True","oem486.inf"
"Intel(R) AI Boost","COMPUTEACCELERATOR","Intel Corporation","32.0.100.4778","28-04-2026 05:30:00","Intel Corporation","True","oem570.inf"
"ACPI x64-based PC","COMPUTER","(Standard computers)","10.0.26100.1","21-06-2006 05:30:00","Microsoft","True","hal.inf"
"Computer Device","COMPUTER","Microsoft","10.0.26100.1","21-06-2006 05:30:00","Microsoft","True","compdev.inf"
"DellInstrumentation Device","DELLINSTRUMENTATION","Dell Technologies","2.9.2.0","09-05-2025 05:30:00","Dell Technologies","True","oem46.inf"
"Disk drive","DISKDRIVE","(Standard disk drives)","10.0.26100.8521","21-06-2006 05:30:00","Microsoft","True","disk.inf"
"Intel(R) Graphics","DISPLAY","Intel Corporation","32.0.101.8724","16-04-2026 05:30:00","Intel Corporation","True","oem27.inf"
"NVMe Firmware 58.33.01.09","FIRMWARE","Dell, Inc.","58.33.1.9","01-01-2026 05:30:00","Dell, Inc.","True","oem398.inf"
"System Firmware 2.11.1","FIRMWARE","Dell, Inc.","2.11.1.0","02-12-2026 05:30:00","Dell, Inc.","True","oem340.inf"
"Converted Portable Device Control device","HIDCLASS","Microsoft","10.0.26100.4484","21-06-2006 05:30:00","Microsoft","True","buttonconverter.inf"
"Dell Universal Receiver HID-compliant vendor-defined device","HIDCLASS","Dell Inc.","2.2.0.0","12-03-2025 05:30:00","Dell Inc.","True","oem135.inf"
"HID-compliant consumer control device","HIDCLASS","Microsoft","10.0.26100.1","21-06-2006 05:30:00","Microsoft","True","hidserv.inf"
"HID-compliant consumer control device","HIDCLASS","Microsoft","10.0.26100.1","21-06-2006 05:30:00","Microsoft","True","hidserv.inf"
"HID-compliant consumer control device","HIDCLASS","Microsoft","10.0.26100.1","21-06-2006 05:30:00","Microsoft","True","hidserv.inf"
"HID-compliant consumer control device","HIDCLASS","Microsoft","10.0.26100.1","21-06-2006 05:30:00","Microsoft","True","hidserv.inf"
"HID-compliant consumer control device","HIDCLASS","Microsoft","10.0.26100.1","21-06-2006 05:30:00","Microsoft","True","hidserv.inf"
"HID-compliant device","HIDCLASS","(Standard system devices)","10.0.26100.8875","21-06-2006 05:30:00","Microsoft","True","input.inf"
"HID-compliant headset","HIDCLASS","Microsoft","10.0.26100.8737","21-04-2009 05:30:00","Microsoft","True","hidtelephonydriver.inf"
"HID-compliant headset","HIDCLASS","Microsoft","10.0.26100.8737","21-04-2009 05:30:00","Microsoft","True","hidtelephonydriver.inf"
"HID-compliant system controller","HIDCLASS","(Standard system devices)","10.0.26100.8875","21-06-2006 05:30:00","Microsoft","True","input.inf"
"HID-compliant system controller","HIDCLASS","(Standard system devices)","10.0.26100.8875","21-06-2006 05:30:00","Microsoft","True","input.inf"
"HID-compliant system controller","HIDCLASS","(Standard system devices)","10.0.26100.8875","21-06-2006 05:30:00","Microsoft","True","input.inf"
"HID-compliant system controller","HIDCLASS","(Standard system devices)","10.0.26100.8875","21-06-2006 05:30:00","Microsoft","True","input.inf"
"HID-compliant touch pad","HIDCLASS","(Standard system devices)","10.0.26100.8875","21-06-2006 05:30:00","Microsoft","True","input.inf"
"HID-compliant vendor-defined device","HIDCLASS","(Standard system devices)","10.0.26100.8875","21-06-2006 05:30:00","Microsoft","True","input.inf"
"HID-compliant vendor-defined device","HIDCLASS","(Standard system devices)","10.0.26100.8875","21-06-2006 05:30:00","Microsoft","True","input.inf"
"HID-compliant vendor-defined device","HIDCLASS","(Standard system devices)","10.0.26100.8875","21-06-2006 05:30:00","Microsoft","True","input.inf"
"I2C HID Device","HIDCLASS","Microsoft","10.0.26100.8521","21-06-2006 05:30:00","Microsoft","True","hidi2c.inf"
"Intel(R) HID Event Filter","HIDCLASS","Intel(R) Corporation","2.2.2.18","19-11-2025 05:30:00","Intel(R) Corporation","True","oem526.inf"
"Intel(R) ISS HID Device","HIDCLASS","Intel","5.8.50.0","25-08-2025 05:30:00","Intel","True","oem87.inf"
"Microsoft Input Configuration Device","HIDCLASS","Microsoft","10.0.26100.1150","21-06-2006 05:30:00","Microsoft","True","mtconfig.inf"
"Portable Device Control device","HIDCLASS","Microsoft","10.0.26100.4484","21-06-2006 05:30:00","Microsoft","True","buttonconverter.inf"
"SoundWire HID","HIDCLASS","Microsoft","10.0.2410.7","17-01-2025 05:30:00","Microsoft","True","oem64.inf"
"USB Input Device","HIDCLASS","(Standard system devices)","10.0.26100.8875","21-06-2006 05:30:00","Microsoft","True","input.inf"
