"FriendlyName","Class","Status","Problem","InstanceId"
"USB Input Device","HIDClass","Unknown","CM_PROB_PHANTOM","USB\VID_413C&PID_4503&MI_00\7&17DFCA00&0&0000"
"HID Keyboard Device","Keyboard","Unknown","CM_PROB_PHANTOM","HID\VID_248D&PID_8003\8&E289F5C&0&0000"
"USB Composite Device","USB","Unknown","CM_PROB_PHANTOM","USB\VID_413C&PID_C010\11AD1D0A92AE3E070A1F0B00"
"Generic Monitor","Monitor","Unknown","CM_PROB_PHANTOM","DISPLAY\MS_0001\4&20B8D095&0&UID24648"
"HID Keyboard Device","Keyboard","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_4503&MI_00\7&2651DBD1&0&0000"
"HID-compliant vendor-defined device","HIDClass","Unknown","CM_PROB_PHANTOM","HID\VID_046D&PID_C538&MI_01&COL01\8&198EA069&0&0000"
"HID-compliant mouse","Mouse","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_4503&MI_01&COL01\8&29F3806E&0&0000"
"Generic USB Hub","USB","Unknown","CM_PROB_PHANTOM","USB\VID_0424&PID_4206\5&2DC84FBA&0&2"
"USB Input Device","HIDClass","Unknown","CM_PROB_PHANTOM","USB\VID_413C&PID_2514&MI_01\7&2E598572&0&0001"
"Dell DA310","USBDevice","Unknown","CM_PROB_PHANTOM","USB\VID_413C&PID_C010&MI_01\7&219A59CA&0&0001"
"HID Keyboard Device","Keyboard","Unknown","CM_PROB_PHANTOM","HID\VID_046D&PID_C534&MI_00\8&2F8DF735&0&0000"
"Microphone (Logi USB Headset)","AudioEndpoint","Unknown","CM_PROB_PHANTOM","SWD\MMDEVAPI\{0.0.1.00000000}.{1BB20B89-3E48-47AD-BC40-9C98F8AA4E96}"
"Generic USB Hub","USB","Unknown","CM_PROB_PHANTOM","USB\VID_1D5C&PID_5510\5&2DC84FBA&0&1"
"Generic USB Hub","USB","Unknown","CM_PROB_PHANTOM","USB\VID_1D5C&PID_5510\5&2DC84FBA&0&2"
"HID-compliant mouse","Mouse","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_2514&MI_01&COL01\7&12C0DE21&0&0000"
"USB Input Device","HIDClass","Unknown","CM_PROB_PHANTOM","USB\VID_046D&PID_0A8F&MI_03\6&25A8D75B&0&0003"
"Dell Universal Receiver HID-compliant vendor-defined device","HIDClass","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_4503&MI_02&COL02\7&1A3E2A54&0&0001"
"Cirrus Logic Enhance APO","AudioProcessingObject","Unknown","CM_PROB_PHANTOM","SWD\DRIVERENUM\{DC0701E7-E54B-442A-B70C-EF640F28C5DE}#ENHANCEAPO&9&200D8058&0"
"Dell Display and Peripheral Manager Software","SoftwareComponent","Unknown","CM_PROB_PHANTOM","SWD\DRIVERENUM\DPMAUTOINSTALLDRIVER_DEVICE_COMPONENT&A&21B20916&0"
"Pandorabox1","Miracast","Unknown","CM_PROB_PHANTOM","SWD\ASPINFRA\PANDORABOX1._DISPLAY._TCP.LOCAL#MIRACAST"
"TSC TE244","PrintQueue","Unknown","CM_PROB_PHANTOM","SWD\PRINTENUM\{11955308-3725-4E7B-A1B9-A0A560917F55}"
"Unknown USB Device (Device Descriptor Request Failed)","USB","Unknown","CM_PROB_PHANTOM","USB\VID_0000&PID_0002\5&2DC84FBA&0&7"
"USB Serial Device (COM6)","Ports","Unknown","CM_PROB_PHANTOM","USB\VID_0E8D&PID_0003\5&2DC84FBA&0&1"
"USB Serial Device (COM3)","Ports","Unknown","CM_PROB_PHANTOM","USB\VID_0E8D&PID_0003\5&2DC84FBA&0&2"
