"Name","Id","WorkingSetMB","PrivateMemMB"
"powershell","28452","949.9","1187.3"
"msedgewebview2","24448","847.4","1006.9"
"explorer","13172","421.6","971"
"claude","27860","357.8","365.4"
"OUTLOOK","8060","353.5","610.9"
"dwm","1956","347.2","700.6"
"MsMpEng","23372","337.1","386.3"
"sqlservr","11544","245","375.6"
"msedgewebview2","9488","184.6","294.6"
"Memory Compression","3664","183.5","5.3"
"MsSense","4940","180","251.2"
"ms-teams","12748","172.3","239.3"
"SenseCE","26672","163.3","247.5"
"StartMenuExperienceHost","15216","163.3","166.9"
"DDPM.Subagent.User","21568","150","155.7"
"claude","26848","148","197.2"
"Dell.TechHub.Instrumentation.SubAgent","3760","137.3","273"
"Notepad","19312","129.6","189.5"
"claude","31608","128.1","197.3"
"msedgewebview2","2932","123.7","102.1"
"BtSystem.Service","7088","117","463.7"
"Integration.Service","24048","106.5","486.4"
"msedge","3056","98.2","110.4"
"WmiPrvSE","7000","94.8","77.2"
"msedgewebview2","7516","91.8","126.1"
"ms-teams","23216","90.3","108.8"
"msedgewebview2","16424","84.3","88.3"
"SearchHost","15208","82.1","86.7"
"Licensing.Service","4604","81.8","150.7"
"sqlservr","4828","80.9","491.4"
