"DeviceName","Manufacturer","DriverVersion","DriverDate","DriverProviderName","InfName","IsSigned"
"WAN Miniport (Network Monitor)","Microsoft","10.0.26100.1","21-06-2006 05:30:00","Microsoft","netrasa.inf","True"
"WAN Miniport (IPv6)","Microsoft","10.0.26100.1","21-06-2006 05:30:00","Microsoft","netrasa.inf","True"
"WAN Miniport (IP)","Microsoft","10.0.26100.1","21-06-2006 05:30:00","Microsoft","netrasa.inf","True"
"WAN Miniport (PPPOE)","Microsoft","10.0.26100.1","21-06-2006 05:30:00","Microsoft","netrasa.inf","True"
"WAN Miniport (PPTP)","Microsoft","10.0.26100.1","21-06-2006 05:30:00","Microsoft","netrasa.inf","True"
"WAN Miniport (L2TP)","Microsoft","10.0.26100.1","21-06-2006 05:30:00","Microsoft","netrasa.inf","True"
"WAN Miniport (IKEv2)","Microsoft","10.0.26100.1","21-06-2006 05:30:00","Microsoft","netavpna.inf","True"
"WAN Miniport (SSTP)","Microsoft","10.0.26100.1","21-06-2006 05:30:00","Microsoft","netsstpa.inf","True"
"Generic software device","Microsoft","10.0.26100.1","21-06-2006 05:30:00","Microsoft","c_swdevice.inf","True"
"Generic software device","Microsoft","10.0.26100.1","21-06-2006 05:30:00","Microsoft","c_swdevice.inf","True"
"Generic software device","Microsoft","10.0.26100.1","21-06-2006 05:30:00","Microsoft","c_swdevice.inf","True"
"Generic software device","Microsoft","10.0.26100.1","21-06-2006 05:30:00","Microsoft","c_swdevice.inf","True"
"Generic software device","Microsoft","10.0.26100.1","21-06-2006 05:30:00","Microsoft","c_swdevice.inf","True"
"Local Print Queue","Microsoft","10.0.26100.1","21-06-2006 05:30:00","Microsoft","printqueue.inf","True"
"Local Print Queue","Microsoft","10.0.26100.1","21-06-2006 05:30:00","Microsoft","printqueue.inf","True"
"Local Print Queue","Microsoft","10.0.26100.1","21-06-2006 05:30:00","Microsoft","printqueue.inf","True"
"Local Print Queue","TSC","10.0.26100.1","21-06-2006 05:30:00","Microsoft","printqueue.inf","True"
"Network Printer Connection","Xerox","10.0.26100.1","21-06-2006 05:30:00","Microsoft","printqueue.inf","True"
"Network Printer Connection","Xerox","10.0.26100.1","21-06-2006 05:30:00","Microsoft","printqueue.inf","True"
"Local Print Queue","Microsoft","10.0.26100.1","21-06-2006 05:30:00","Microsoft","printqueue.inf","True"
"Generic software device","Microsoft","10.0.26100.1","21-06-2006 05:30:00","Microsoft","c_swdevice.inf","True"
"Generic software device","Microsoft","10.0.26100.1","21-06-2006 05:30:00","Microsoft","c_swdevice.inf","True"
"Generic software device","Microsoft","10.0.26100.1","21-06-2006 05:30:00","Microsoft","c_swdevice.inf","True"
"Generic software device","Microsoft","10.0.26100.1","21-06-2006 05:30:00","Microsoft","c_swdevice.inf","True"
"Generic software device","Microsoft","10.0.26100.1","21-06-2006 05:30:00","Microsoft","c_swdevice.inf","True"
"Voice Clarity","Microsoft Corporation","1.0.4.7057","16-06-2026 05:30:00","Microsoft Corporation","oem534.inf","True"
"Computer Device","Microsoft","10.0.26100.1","21-06-2006 05:30:00","Microsoft","compdev.inf","True"
"Remote Desktop Device Redirector Bus","Microsoft","10.0.26100.8737","21-06-2006 05:30:00","Microsoft","rdpbus.inf","True"
"HID-compliant mouse","Microsoft","10.0.26100.1150","21-06-2006 05:30:00","Microsoft","msmouse.inf","True"
"HID-compliant system controller","(Standard system devices)","10.0.26100.8875","21-06-2006 05:30:00","Microsoft","input.inf","True"
"HID-compliant consumer control device","Microsoft","10.0.26100.1","21-06-2006 05:30:00","Microsoft","hidserv.inf","True"
"HID Keyboard Device","(Standard keyboards)","10.0.26100.8521","21-06-2006 05:30:00","Microsoft","keyboard.inf","True"
"HID Keyboard Device","(Standard keyboards)","10.0.26100.8521","21-06-2006 05:30:00","Microsoft","keyboard.inf","True"
"USB Input Device","(Standard system devices)","10.0.26100.8875","21-06-2006 05:30:00","Microsoft","input.inf","True"
"USB Composite Device","(Standard USB Host Controller)","10.0.26100.8737","21-06-2006 05:30:00","Microsoft","usb.inf","True"
"Dell Peripheral Manager","Dell Inc.","1.2.0.31","21-02-2024 05:30:00","Dell Inc.","oem199.inf","True"
"Microsoft Streaming Service Proxy","Microsoft","10.0.26100.1","21-06-2006 05:30:00","Microsoft","ksfilter.inf","True"
"Plug and Play Software Device Enumerator","(Standard system devices)","10.0.26100.4202","23-05-2025 05:30:00","Microsoft","swenum.inf","True"
"Microsoft System Management BIOS Driver","(Standard system devices)","10.0.26100.1","21-06-2006 05:30:00","Microsoft","mssmbios.inf","True"
"NDIS Virtual Network Adapter Enumerator","Microsoft","10.0.26100.1","21-06-2006 05:30:00","Microsoft","ndisvirtualbus.inf","True"
"DellInstrumentation Device","Dell Technologies","2.9.2.0","09-05-2025 05:30:00","Dell Technologies","oem46.inf","True"
"Microsoft Basic Render Driver","Microsoft","10.0.26100.8521","21-06-2006 05:30:00","Microsoft","basicrender.inf","True"
"NVMe Firmware 58.33.01.09","Dell, Inc.","58.33.1.9","01-01-2026 05:30:00","Dell, Inc.","oem398.inf","True"
"System Firmware 2.11.1","Dell, Inc.","2.11.1.0","02-12-2026 05:30:00","Dell, Inc.","oem340.inf","True"
"Microsoft UEFI-Compliant System","Microsoft","10.0.26100.8737","21-06-2006 05:30:00","Microsoft","uefi.inf","True"
"Trusted Platform Module 2.0","(Standard)","10.0.26100.8521","21-06-2006 05:30:00","Microsoft","tpm.inf","True"
"Motherboard resources","(Standard system devices)","10.0.26100.1150","21-06-2006 05:30:00","Microsoft","machine.inf","True"
"UCM-UCSI ACPI Device","Microsoft","10.0.26100.8521","21-06-2006 05:30:00","Microsoft","ucmucsiacpiclient.inf","True"
"Intel(R) Innovation Platform Framework Generic Participant","Intel","2.3.20304.7","05-01-2026 05:30:00","Intel","oem549.inf","True"
"Intel(R) Innovation Platform Framework Generic Participant","Intel","2.3.20304.7","05-01-2026 05:30:00","Intel","oem549.inf","True"
"Intel(R) Innovation Platform Framework Generic Participant","Intel","2.3.20304.7","05-01-2026 05:30:00","Intel","oem549.inf","True"
"Intel(R) Innovation Platform Framework Generic Participant","Intel","2.3.20304.7","05-01-2026 05:30:00","Intel","oem549.inf","True"
"Intel(R) Innovation Platform Framework Generic Participant","Intel","2.3.20304.7","05-01-2026 05:30:00","Intel","oem549.inf","True"
"Intel(R) Innovation Platform Framework Generic Participant","Intel","2.3.20304.7","05-01-2026 05:30:00","Intel","oem549.inf","True"
"Intel(R) Innovation Platform Framework PCH ACPI Participant","Intel","2.3.20304.7","05-01-2026 05:30:00","Intel","oem549.inf","True"
"Intel(R) Innovation Platform Framework Manager","Intel","2.3.20304.7","05-01-2026 05:30:00","Intel","oem549.inf","True"
"Generic Bus","(Standard system devices)","10.0.26100.1150","21-06-2006 05:30:00","Microsoft","machine.inf","True"
"Microsoft Windows Management Interface for ACPI","Microsoft","10.0.26100.1150","21-06-2006 05:30:00","Microsoft","wmiacpi.inf","True"
"ACPI Audio Compositor Device","Microsoft","10.0.2410.7","17-01-2025 05:30:00","Microsoft","oem84.inf","True"
"HID-compliant system controller","(Standard system devices)","10.0.26100.8875","21-06-2006 05:30:00","Microsoft","input.inf","True"
"HID-compliant consumer control device","Microsoft","10.0.26100.1","21-06-2006 05:30:00","Microsoft","hidserv.inf","True"
"HID Keyboard Device","(Standard keyboards)","10.0.26100.8521","21-06-2006 05:30:00","Microsoft","keyboard.inf","True"
"Converted Portable Device Control device","Microsoft","10.0.26100.4484","21-06-2006 05:30:00","Microsoft","buttonconverter.inf","True"
"Portable Device Control device","Microsoft","10.0.26100.4484","21-06-2006 05:30:00","Microsoft","buttonconverter.inf","True"
"HID-compliant system controller","(Standard system devices)","10.0.26100.8875","21-06-2006 05:30:00","Microsoft","input.inf","True"
"Intel(R) HID Event Filter","Intel(R) Corporation","2.2.2.18","19-11-2025 05:30:00","Intel(R) Corporation","oem526.inf","True"
"Microsoft ACPI-Compliant Control Method Battery","Microsoft","10.0.26100.8655","21-06-2006 05:30:00","Microsoft","cmbatt.inf","True"
"Microsoft AC Adapter","Microsoft","10.0.26100.8655","21-06-2006 05:30:00","Microsoft","cmbatt.inf","True"
"ACPI Sleep Button","(Standard system devices)","10.0.26100.1150","21-06-2006 05:30:00","Microsoft","machine.inf","True"
"ACPI Lid","(Standard system devices)","10.0.26100.1150","21-06-2006 05:30:00","Microsoft","machine.inf","True"
"Microsoft Windows Management Interface for ACPI","Microsoft","10.0.26100.1150","21-06-2006 05:30:00","Microsoft","wmiacpi.inf","True"
"Microsoft Windows Management Interface for ACPI","Microsoft","10.0.26100.1150","21-06-2006 05:30:00","Microsoft","wmiacpi.inf","True"
"Microsoft Windows Management Interface for ACPI","Microsoft","10.0.26100.1150","21-06-2006 05:30:00","Microsoft","wmiacpi.inf","True"
"Microsoft Windows Management Interface for ACPI","Microsoft","10.0.26100.1150","21-06-2006 05:30:00","Microsoft","wmiacpi.inf","True"
"Microsoft Windows Management Interface for ACPI","Microsoft","10.0.26100.1150","21-06-2006 05:30:00","Microsoft","wmiacpi.inf","True"
"Microsoft Windows Management Interface for ACPI","Microsoft","10.0.26100.1150","21-06-2006 05:30:00","Microsoft","wmiacpi.inf","True"
"Intel(R) Power Engine Plug-in","Intel Corporation","10.0.26100.8737","21-06-2006 05:30:00","Microsoft","intelpep.inf","True"
"Microsoft Windows Management Interface for ACPI","Microsoft","10.0.26100.1150","21-06-2006 05:30:00","Microsoft","wmiacpi.inf","True"
"Microsoft Windows Management Interface for ACPI","Microsoft","10.0.26100.1150","21-06-2006 05:30:00","Microsoft","wmiacpi.inf","True"
"ACPI Processor Aggregator","(Standard system devices)","10.0.26100.1150","21-06-2006 05:30:00","Microsoft","acpipagr.inf","True"
"Intel Processor","Intel","10.0.26100.8737","21-04-2009 05:30:00","Microsoft","cpu.inf","True"
"Intel Processor","Intel","10.0.26100.8737","21-04-2009 05:30:00","Microsoft","cpu.inf","True"
"Intel Processor","Intel","10.0.26100.8737","21-04-2009 05:30:00","Microsoft","cpu.inf","True"
"Intel Processor","Intel","10.0.26100.8737","21-04-2009 05:30:00","Microsoft","cpu.inf","True"
"Intel Processor","Intel","10.0.26100.8737","21-04-2009 05:30:00","Microsoft","cpu.inf","True"
"Intel Processor","Intel","10.0.26100.8737","21-04-2009 05:30:00","Microsoft","cpu.inf","True"
"Intel Processor","Intel","10.0.26100.8737","21-04-2009 05:30:00","Microsoft","cpu.inf","True"
"Intel Processor","Intel","10.0.26100.8737","21-04-2009 05:30:00","Microsoft","cpu.inf","True"
"Intel Processor","Intel","10.0.26100.8737","21-04-2009 05:30:00","Microsoft","cpu.inf","True"
"Intel Processor","Intel","10.0.26100.8737","21-04-2009 05:30:00","Microsoft","cpu.inf","True"
"Intel Processor","Intel","10.0.26100.8737","21-04-2009 05:30:00","Microsoft","cpu.inf","True"
"Intel Processor","Intel","10.0.26100.8737","21-04-2009 05:30:00","Microsoft","cpu.inf","True"
"Intel Processor","Intel","10.0.26100.8737","21-04-2009 05:30:00","Microsoft","cpu.inf","True"
"Intel Processor","Intel","10.0.26100.8737","21-04-2009 05:30:00","Microsoft","cpu.inf","True"
"Intel(R) Serial IO GPIO Host Controller - INTC105E","Intel Corporation","30.100.2527.40","07-03-2025 05:30:00","Intel Corporation","oem391.inf","True"
"Motherboard resources","(Standard system devices)","10.0.26100.1150","21-06-2006 05:30:00","Microsoft","machine.inf","True"
