"Name","Vendor","Version","InstallDate"
"Python 3.13.15 Add to Path (64-bit)","Python Software Foundation","3.13.15150.0","20260807"
"Google Chrome","Google LLC","151.0.7922.138","20260818"
"Dell SupportAssist OS Recovery Plugin for Dell Update","Dell Inc.","5.5.16.2","20260811"
"ZscalerEP","Zscaler","26.05.0.36","20260720"
"Zscaler","Zscaler Inc.","4.8.0.232","20260720"
"BarTender","Seagull Software","11.5.1","20260528"
"Cirrus Audio Driver Setup","Cirrus Logic Inc.","1.2.44","20260616"
"File_Watcher","NIQ","1.0.0","20260523"
"Python 3.13.15 Development Libraries (64-bit)","Python Software Foundation","3.13.15150.0","20260807"
"BrightAuthor 5.0","BrightSign","5.0.2.0","20260528"
"Dell Core Services","Dell, Inc.","1.15.13.0","20260810"
"Python 3.13.15 Executables (64-bit)","Python Software Foundation","3.13.15150.0","20260807"
"Check Point VPN","Check Point Software Technologies Ltd.","98.61.5609","20260523"
"Python 3.13.15 Core Interpreter (64-bit)","Python Software Foundation","3.13.15150.0","20260807"
"Python Launcher","Python Software Foundation","3.13.15150.0","20260807"
,,,
"Dell Command | Update for Windows Universal","Dell Inc.","5.7.1","20260811"
"Python 3.13.15 Documentation (64-bit)","Python Software Foundation","3.13.15150.0","20260807"
"Python 3.13.15 pip Bootstrap (64-bit)","Python Software Foundation","3.13.15150.0","20260807"
"Python 3.13.15 Tcl/Tk Support (64-bit)","Python Software Foundation","3.13.15150.0","20260807"
"FlexNet Inventory Agent","Flexera Software LLC","24.00.1511","20260522"
"Spektion Sensor","Spektion","3.0.8","20260729"
"Python 3.13.15 Standard Library (64-bit)","Python Software Foundation","3.13.15150.0","20260807"
