"TaskName","LastRunTime","LastTaskResult","NextRunTime"
"MDE_Service_Check","18-08-2026 14:31:21","0",
"OneDrive Per-Machine Standalone Update Task","19-08-2026 13:20:14","2147806724","20-08-2026 16:53:15"
"npcapwatchdog","18-08-2026 14:30:53","0",
"Download_File_Watcher","18-08-2026 14:31:21","267009",
"CustomerPluginUpdate","19-08-2026 11:07:36","2147942402","19-08-2026 15:07:35"
"OneDrive Reporting Task-S-1-12-1-2357405129-1281513531-255772574-1816207334","18-08-2026 14:52:43","0","19-08-2026 14:52:42"
"iGoAudioTask","18-08-2026 14:31:21","2147946720",
"OneDrive Reporting Task-S-1-5-21-3608031908-443761264-1593342945-1000","30-11-1999 00:00:00","267011","19-08-2026 14:52:43"
"OneDrive Reporting Task-S-1-12-1-4220155720-1073834589-1054805678-3526012841","30-11-1999 00:00:00","267011","19-08-2026 14:52:42"
"MicrosoftEdgeUpdateTaskMachineCore{1436B79C-8C4B-4867-9BCC-E2311AC46636}","19-08-2026 10:13:06","0","20-08-2026 10:13:05"
"OneDrive Startup Task-S-1-12-1-4220155720-1073834589-1054805678-3526012841","30-11-1999 00:00:00","267011",
"OneDrive Startup Task-S-1-12-1-2357405129-1281513531-255772574-1816207334","18-08-2026 14:41:22","0",
"OneDrive Startup Task-S-1-5-21-3608031908-443761264-1593342945-1000","30-11-1999 00:00:00","267011",
"MicrosoftEdgeUpdateTaskMachineUA{62F28F55-DF7B-4A5C-8F9D-AD23FC47952F}","19-08-2026 14:02:32","0","19-08-2026 14:43:06"
"iGoAudioTaskSession","18-08-2026 14:31:21","267009",
"GoogleUpdaterTaskSystem152.0.7933.0{0834C5D3-6E36-40BA-858A-ABF48946C707}","19-08-2026 14:02:32","0","19-08-2026 14:50:57"
"SensorFramework-LogonTask-{100ee514-48c8-f419-6760-6fb8cb2767cd}","18-08-2026 14:31:21","0",
"Intune Management Extension Client Cert Checker","19-08-2026 14:02:28","0","19-08-2026 15:05:30"
"Intune Management Extension Health Evaluation","19-08-2026 11:37:35","0","20-08-2026 11:01:53"
"Office ClickToRun Service Monitor","19-08-2026 10:02:31","0","20-08-2026 05:19:27"
"Office Automatic Updates 2.0","19-08-2026 13:29:09","0","20-08-2026 03:09:48"
"Office Actions Server","18-08-2026 14:41:22","0","19-08-2026 15:00:00"
"Office Performance Monitor","30-11-1999 00:00:00","267011",
".NET Framework NGEN v4.0.30319","19-08-2026 10:07:31","0",
"Office Serviceability Manager","30-11-1999 00:00:00","267011","20-08-2026 01:44:28"
"Office Startup Maintenance","19-08-2026 10:02:31","4294967288","20-08-2026 08:16:23"
"Office Feature Updates Logon","19-08-2026 14:24:08","0",
"Office Feature Updates","19-08-2026 11:54:15","0","19-08-2026 19:52:35"
"Office Background Push Maintenance","19-08-2026 00:26:08","0","19-08-2026 20:48:45"
".NET Framework NGEN v4.0.30319 64","19-08-2026 10:07:31","0",
"RecoverabilityToastTask","19-08-2026 14:09:38","0",
"PolicyConverter","18-08-2026 14:32:56","0",
"EDP Policy Manager","30-11-1999 00:00:00","267011",
"MareBackup","30-11-1999 00:00:00","267011",
"VerifiedPublisherCertStoreCheck","19-08-2026 14:02:24","0",
"AD RMS Rights Policy Template Management (Manual)","30-11-1999 00:00:00","267011",
"Microsoft Compatibility Appraiser Exp","30-11-1999 00:00:00","267011",
"SdbinstMergeDbTask","30-11-1999 00:00:00","267011",
"PcaPatchDbTask","19-08-2026 10:02:31","0","19-08-2026 15:52:38"
"DsSvcCleanup","19-08-2026 10:07:29","0",
"StartupAppTask","18-08-2026 09:51:39","0",
"appuriverifierinstall","18-08-2026 10:31:26","0",
"appuriverifierdaily","19-08-2026 10:07:29","0",
"CleanupTemporaryState","17-08-2026 10:02:57","0",
"Proxy","18-08-2026 15:25:46","0",
"BitLocker Encrypt All Drives","30-11-1999 00:00:00","267011",
"UCPD velocity","19-08-2026 10:07:29","0",
