"Name","Command","Location","User"
"Send to OneNote","Send to OneNote.lnk","Startup","ENTERPRISE\arjo5004"
"OneDrive","""C:\Program Files\Microsoft OneDrive\OneDrive.exe"" /background","HKU\S-1-12-1-2357405129-1281513531-255772574-1816207334\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","ENTERPRISE\arjo5004"
"Teams","""C:\Users\arjo5004\AppData\Local\Microsoft\WindowsApps\MSTeams_8wekyb3d8bbwe\ms-teams.exe"" msteams:system-initiated","HKU\S-1-12-1-2357405129-1281513531-255772574-1816207334\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","ENTERPRISE\arjo5004"
"Microsoft.Lists","C:\Program Files\Microsoft OneDrive\26.139.0720.0007\OneDrive.Sync.Service.exe","HKU\S-1-12-1-2357405129-1281513531-255772574-1816207334\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","ENTERPRISE\arjo5004"
"MicrosoftEdgeAutoLaunch_EDC53C480E556B0C2A33067FFC017FFD","""C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"" --no-startup-window --win-session-start","HKU\S-1-12-1-2357405129-1281513531-255772574-1816207334\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","ENTERPRISE\arjo5004"
"OneDriveSetup","C:\Windows\System32\OneDriveSetup.exe /thfirstsetup","HKU\S-1-12-1-4220155720-1073834589-1054805678-3526012841\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","ENTERPRISE\arjo5004.T1"
"OneDriveSetup","C:\Windows\System32\OneDriveSetup.exe /thfirstsetup","HKU\S-1-5-19\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","NT AUTHORITY\LOCAL SERVICE"
"OneDriveSetup","C:\Windows\System32\OneDriveSetup.exe /thfirstsetup","HKU\S-1-5-20\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","NT AUTHORITY\NETWORK SERVICE"
"OneDriveSetup","C:\Windows\System32\OneDriveSetup.exe /thfirstsetup","HKU\S-1-5-80-1421082958-2220363263-3887300755-450899232-919288563\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","NT SERVICE\SQLTELEMETRY$BARTENDER"
"SecurityHealth","%windir%\system32\SecurityHealthSystray.exe","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","Public"
"clabp","C:\Windows\System32\DriverStore\FileRepository\clabpsvc_x64.inf_amd64_a85e7c8fcd024a39\CLAudioBackgroundProcess.exe","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","Public"
"Seagull Drivers V3","C:\Program Files\Seagull\Printer Drivers\Common\Seagull_DriverStartup.exe startup","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","Public"
