"Path","InstanceName","CookedValue","Timestamp"
"\\lind55mbvc4\network interface(intel[r] ethernet connection [24] i219-lm)\bytes total/sec","intel[r] ethernet connection [24] i219-lm","0","19-08-2026 14:36:08"
"\\lind55mbvc4\network interface(realtek usb gbe family controller)\bytes total/sec","realtek usb gbe family controller","0","19-08-2026 14:36:08"
"\\lind55mbvc4\network interface(realtek usb gbe family controller _2)\bytes total/sec","realtek usb gbe family controller _2","0","19-08-2026 14:36:08"
"\\lind55mbvc4\network interface(realtek usb gbe family controller _3)\bytes total/sec","realtek usb gbe family controller _3","0","19-08-2026 14:36:08"
"\\lind55mbvc4\network interface(intel[r] wi-fi 7 be201 320mhz)\bytes total/sec","intel[r] wi-fi 7 be201 320mhz","25543.2969493953","19-08-2026 14:36:08"
"\\lind55mbvc4\network interface(intel[r] wi-fi 7 be201 320mhz _2)\bytes total/sec","intel[r] wi-fi 7 be201 320mhz _2","0","19-08-2026 14:36:08"
"\\lind55mbvc4\network interface(intel[r] wi-fi 7 be201 320mhz _3)\bytes total/sec","intel[r] wi-fi 7 be201 320mhz _3","0","19-08-2026 14:36:08"
"\\lind55mbvc4\network interface(intel[r] wi-fi 7 be201 320mhz _4)\bytes total/sec","intel[r] wi-fi 7 be201 320mhz _4","0","19-08-2026 14:36:08"
"\\lind55mbvc4\network interface(intel[r] wi-fi 7 be201 320mhz _5)\bytes total/sec","intel[r] wi-fi 7 be201 320mhz _5","0","19-08-2026 14:36:08"
"\\lind55mbvc4\network interface(intel[r] ethernet connection [24] i219-lm)\packets/sec","intel[r] ethernet connection [24] i219-lm","0","19-08-2026 14:36:08"
"\\lind55mbvc4\network interface(realtek usb gbe family controller)\packets/sec","realtek usb gbe family controller","0","19-08-2026 14:36:08"
"\\lind55mbvc4\network interface(realtek usb gbe family controller _2)\packets/sec","realtek usb gbe family controller _2","0","19-08-2026 14:36:08"
"\\lind55mbvc4\network interface(realtek usb gbe family controller _3)\packets/sec","realtek usb gbe family controller _3","0","19-08-2026 14:36:08"
"\\lind55mbvc4\network interface(intel[r] wi-fi 7 be201 320mhz)\packets/sec","intel[r] wi-fi 7 be201 320mhz","153.431146353338","19-08-2026 14:36:08"
"\\lind55mbvc4\network interface(intel[r] wi-fi 7 be201 320mhz _2)\packets/sec","intel[r] wi-fi 7 be201 320mhz _2","0","19-08-2026 14:36:08"
"\\lind55mbvc4\network interface(intel[r] wi-fi 7 be201 320mhz _3)\packets/sec","intel[r] wi-fi 7 be201 320mhz _3","0","19-08-2026 14:36:08"
"\\lind55mbvc4\network interface(intel[r] wi-fi 7 be201 320mhz _4)\packets/sec","intel[r] wi-fi 7 be201 320mhz _4","0","19-08-2026 14:36:08"
"\\lind55mbvc4\network interface(intel[r] wi-fi 7 be201 320mhz _5)\packets/sec","intel[r] wi-fi 7 be201 320mhz _5","0","19-08-2026 14:36:08"
"\\lind55mbvc4\network interface(intel[r] ethernet connection [24] i219-lm)\packets received/sec","intel[r] ethernet connection [24] i219-lm","0","19-08-2026 14:36:08"
"\\lind55mbvc4\network interface(realtek usb gbe family controller)\packets received/sec","realtek usb gbe family controller","0","19-08-2026 14:36:08"
"\\lind55mbvc4\network interface(realtek usb gbe family controller _2)\packets received/sec","realtek usb gbe family controller _2","0","19-08-2026 14:36:08"
"\\lind55mbvc4\network interface(realtek usb gbe family controller _3)\packets received/sec","realtek usb gbe family controller _3","0","19-08-2026 14:36:08"
"\\lind55mbvc4\network interface(intel[r] wi-fi 7 be201 320mhz)\packets received/sec","intel[r] wi-fi 7 be201 320mhz","83.1915631201539","19-08-2026 14:36:08"
"\\lind55mbvc4\network interface(intel[r] wi-fi 7 be201 320mhz _2)\packets received/sec","intel[r] wi-fi 7 be201 320mhz _2","0","19-08-2026 14:36:08"
"\\lind55mbvc4\network interface(intel[r] wi-fi 7 be201 320mhz _3)\packets received/sec","intel[r] wi-fi 7 be201 320mhz _3","0","19-08-2026 14:36:08"
"\\lind55mbvc4\network interface(intel[r] wi-fi 7 be201 320mhz _4)\packets received/sec","intel[r] wi-fi 7 be201 320mhz _4","0","19-08-2026 14:36:08"
"\\lind55mbvc4\network interface(intel[r] wi-fi 7 be201 320mhz _5)\packets received/sec","intel[r] wi-fi 7 be201 320mhz _5","0","19-08-2026 14:36:08"
"\\lind55mbvc4\network interface(intel[r] ethernet connection [24] i219-lm)\packets sent/sec","intel[r] ethernet connection [24] i219-lm","0","19-08-2026 14:36:08"
"\\lind55mbvc4\network interface(realtek usb gbe family controller)\packets sent/sec","realtek usb gbe family controller","0","19-08-2026 14:36:08"
"\\lind55mbvc4\network interface(realtek usb gbe family controller _2)\packets sent/sec","realtek usb gbe family controller _2","0","19-08-2026 14:36:08"
"\\lind55mbvc4\network interface(realtek usb gbe family controller _3)\packets sent/sec","realtek usb gbe family controller _3","0","19-08-2026 14:36:08"
"\\lind55mbvc4\network interface(intel[r] wi-fi 7 be201 320mhz)\packets sent/sec","intel[r] wi-fi 7 be201 320mhz","70.2395832331838","19-08-2026 14:36:08"
"\\lind55mbvc4\network interface(intel[r] wi-fi 7 be201 320mhz _2)\packets sent/sec","intel[r] wi-fi 7 be201 320mhz _2","0","19-08-2026 14:36:08"
"\\lind55mbvc4\network interface(intel[r] wi-fi 7 be201 320mhz _3)\packets sent/sec","intel[r] wi-fi 7 be201 320mhz _3","0","19-08-2026 14:36:08"
