"Name","Version","Vendor","InstallDate"
"Office 16 Click-to-Run Extensibility Component","16.0.20131.20112","Microsoft Corporation","20260721"
"Microsoft .NET Host - 10.0.11 (x64)","80.44.56884","Microsoft Corporation","20260819"
"Microsoft Intune Management Extension","1.104.102.0","Microsoft Corporation","20260806"
"Microsoft .NET Host FX Resolver - 10.0.11 (x64)","80.44.56884","Microsoft Corporation","20260819"
"Python 3.13.15 Add to Path (64-bit)","3.13.15150.0","Python Software Foundation","20260807"
"Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.51.36247","14.51.36247","Microsoft Corporation","20260611"
"Microsoft SQL Server 2019 T-SQL Language Service ","15.0.2000.5","Microsoft Corporation","20260528"
"Google Chrome","151.0.7922.138","Google LLC","20260818"
"Microsoft .NET Runtime - 8.0.30 (x86)","64.120.56788","Microsoft Corporation","20260819"
"Dell SupportAssist OS Recovery Plugin for Dell Update","5.5.16.2","Dell Inc.","20260811"
"Microsoft .NET Runtime - 10.0.11 (x64)","80.44.56884","Microsoft Corporation","20260819"
"ZscalerEP","26.05.0.36","Zscaler","20260720"
"SQL Server 2019 XEvent","15.0.2000.5","Microsoft Corporation","20260528"
"Microsoft OLE DB Driver for SQL Server","18.7.4.0","Microsoft Corporation","20260529"
"SQL Server 2019 Connection Info","15.0.2000.5","Microsoft Corporation","20260528"
"SQL Server 2019 DMF","15.0.2000.5","Microsoft Corporation","20260528"
"Zscaler","4.8.0.232","Zscaler Inc.","20260720"
"BarTender","11.5.1","Seagull Software","20260528"
"Microsoft SQL Server 2019 RsFx Driver","15.0.2000.5","Microsoft Corporation","20260528"
"Microsoft VSS Writer for SQL Server 2019","15.0.2000.5","Microsoft Corporation","20260721"
"Microsoft .NET Host FX Resolver - 8.0.30 (x64)","64.120.56788","Microsoft Corporation","20260819"
"Cirrus Audio Driver Setup","1.2.44","Cirrus Logic Inc.","20260616"
"File_Watcher","1.0.0","NIQ","20260523"
"Python 3.13.15 Development Libraries (64-bit)","3.13.15150.0","Python Software Foundation","20260807"
"SQL Server 2019 Connection Info","15.0.2000.5","Microsoft Corporation","20260528"
"Microsoft Power BI Desktop (x64)","2.156.951.0","Microsoft Corporation","20260723"
"Microsoft .NET Host - 8.0.30 (x64)","64.120.56788","Microsoft Corporation","20260819"
"Microsoft .NET Host FX Resolver - 8.0.30 (x86)","64.120.56788","Microsoft Corporation","20260819"
"BrightAuthor 5.0","5.0.2.0","BrightSign","20260528"
"SQL Server 2019 Database Engine Shared","15.0.2000.5","Microsoft Corporation","20260721"
"Browser for SQL Server 2019","15.0.2000.5","Microsoft Corporation","20260721"
"SQL Server 2019 DMF","15.0.2000.5","Microsoft Corporation","20260528"
"Dell Core Services","1.15.13.0","Dell, Inc.","20260810"
"SQL Server 2019 Shared Management Objects Extensions","15.0.2000.5","Microsoft Corporation","20260528"
"Python 3.13.15 Executables (64-bit)","3.13.15150.0","Python Software Foundation","20260807"
"Microsoft Windows Desktop Runtime - 8.0.30 (x64)","64.120.56881","Microsoft Corporation","20260819"
"Microsoft SQL Server 2012 Native Client ","11.4.7515.2","Microsoft Corporation","20260529"
"Microsoft ASP.NET Core 8.0.30 Shared Framework (x86)","8.0.30.26373","Microsoft Corporation","20260819"
"Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.51.36247","14.51.36247","Microsoft Corporation","20260611"
"SQL Server 2019 SQL Diagnostics","15.0.2000.5","Microsoft Corporation","20260528"
