"DisplayName","DisplayVersion","Publisher","InstallDate","InstallLocation","UninstallString"
"7-Zip 26.02 (x64)","26.02","Igor Pavlov",,"C:\Program Files\7-Zip\","""C:\Program Files\7-Zip\Uninstall.exe"""
"BarTender","11.5.1","Seagull Software","20260528","C:\Program Files\Seagull\BarTender 11.5\","MsiExec.exe /I{3508A484-88F0-487A-BAC4-97C1D89F44E1}"
"BarTender 11.5.1","11.5.1.245374","Seagull Software",,"C:\Program Files\Seagull\BarTender 11.5\","msiexec.exe /I{3508A484-88F0-487A-BAC4-97C1D89F44E1}"
"BrightAuthor 5.0","5.0.2.0","BrightSign",,,"""C:\ProgramData\Package Cache\{d7575d1d-d4b5-4f8e-8602-46e14a6673df}\BrightAuthorSetup.exe""  /uninstall"
"Browser for SQL Server 2019","15.0.2000.5","Microsoft Corporation","20260721","","MsiExec.exe /X{5E366957-8D78-4BB5-A790-96F97A9766BD}"
"Check Point VPN","98.61.5609","Check Point Software Technologies Ltd.","20260523","","MsiExec.exe /I{7FF705A8-27D9-46C9-955F-C12B39FC2A8E}"
"Cirrus Audio Driver","1.2.44","Cirrus Logic Inc.",,,"""C:\ProgramData\Package Cache\{6276ed23-c265-45a2-969d-cdced1788380}\Installer.exe""  /uninstall"
"Cirrus Audio Driver Setup","1.2.44","Cirrus Logic Inc.","20260616","C:\Program Files\Cirrus\","MsiExec.exe /X{5C679B45-3F48-433F-B052-3FC02BB08454}"
"Dell Command | Update for Windows Universal","5.7.1","Dell Inc.","20260811","C:\Program Files\Dell\CommandUpdate\","MsiExec.exe /X{C4B7E2A9-5F18-4D63-A91C-8E0F3D7B6A2E}"
"Dell Core Services","1.15.13.0","Dell, Inc.","20260810","C:\Program Files\Dell\","MsiExec.exe /I{832D0FA7-2C69-4D81-BE54-0B2F610DCF11}"
"Dell Display and Peripheral Manager","2.3.0.17","Dell Technologies","20260810","C:\Program Files\Dell\Dell Display and Peripheral Manager","""C:\Program Files\Dell\Dell Display and Peripheral Manager\Installer\setup.exe"" -runfromtemp  -removeonly"
"Dell Peripheral Core","2.3.0.104","Dell Inc.",,,"C:\Program Files\Dell\Dell Peripheral Manager\Uninstall.exe"
