"Name","Version","Publisher","InstallLocation"
"1527c705-839a-4832-9118-54d4Bd6a0c89","10.0.19640.1000","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Windows\SystemApps\Microsoft.Windows.FilePicker_cw5n1h2txyewy"
"c5e2524a-ea46-4f67-841f-6a9465d9d515","10.0.26100.1","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Windows\SystemApps\Microsoft.Windows.FileExplorer_cw5n1h2txyewy"
"E2A4F912-2574-4A75-9BB0-0D023378592B","10.0.19640.1000","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Windows\SystemApps\Microsoft.Windows.AppResolverUX_cw5n1h2txyewy"
"F46D4000-FD22-4DB4-AC8E-4E1DDDE828FE","10.0.26100.1","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Windows\SystemApps\Microsoft.Windows.AddSuggestedFoldersToLibraryDialog_cw5n1h2txyewy"
"Microsoft.AAD.BrokerPlugin","1000.19580.1000.2","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Windows\SystemApps\Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy"
"Microsoft.AccountsControl","10.0.26100.1","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Windows\SystemApps\Microsoft.AccountsControl_cw5n1h2txyewy"
"Microsoft.AsyncTextService","10.0.26100.1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Windows\SystemApps\Microsoft.AsyncTextService_8wekyb3d8bbwe"
"Microsoft.BioEnrollment","10.0.19587.1000","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Windows\SystemApps\Microsoft.BioEnrollment_cw5n1h2txyewy"
"Microsoft.CredDialogHost","10.0.19595.1001","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Windows\SystemApps\microsoft.creddialoghost_cw5n1h2txyewy"
"Microsoft.MicrosoftEdgeDevToolsClient","1000.25128.1000.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Windows\SystemApps\Microsoft.MicrosoftEdgeDevToolsClient_8wekyb3d8bbwe"
"Microsoft.Win32WebViewHost","10.0.26100.1","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Windows\SystemApps\Microsoft.Win32WebViewHost_cw5n1h2txyewy"
