"ReportFolder","SourcePath","LastWriteTime"
"AppCrash_AppUp.IntelArcSo_5578991cc88601deb9e332ea2279940303a1b20_255084ff_4817230e-0b91-47f4-a20b-3a2c17dea4fd","C:\ProgramData\Microsoft\Windows\WER\ReportArchive","07-08-2026 18:22:07"
"AppCrash_BtSystem.Service_e8ce7895d96591d3751ad683f6657a1c733c4_c58e504a_86a9b53a-b168-426c-a531-96c2e9d611d6","C:\ProgramData\Microsoft\Windows\WER\ReportArchive","07-08-2026 18:23:04"
"AppCrash_dwm.exe_735913c445d6bf8fe766d675e2caf191b68f152_71216147_2a33efd4-aa7b-4e2a-a406-3f9be4a0356b","C:\ProgramData\Microsoft\Windows\WER\ReportArchive","10-08-2026 09:36:17"
"AppCrash_Explorer.EXE_5a8c56e768c352a8f067aa73d839953135d7896_718e5b5e_491ea887-338a-4673-a2c6-0f8815841059","C:\ProgramData\Microsoft\Windows\WER\ReportArchive","20-07-2026 14:48:49"
"AppCrash_Licensing.Servic_ab88b91df597f22e39e23ea3ec438d0ddecbed_e473e0f6_8e9523c7-2b13-4125-b13f-32fac972b909","C:\ProgramData\Microsoft\Windows\WER\ReportArchive","07-08-2026 18:24:08"
"AppCrash_Microsoft.Paint__da08a1cb67f12d2f887ae5f7438af078a8bb8f_77faf607_48f6ffef-2753-41d5-825e-8968a4c8897e","C:\ProgramData\Microsoft\Windows\WER\ReportArchive","07-08-2026 18:22:58"
"AppCrash_MicrosoftWindows_219fdcad849ed7e8e1f6315f4d9bea236732b59_587148ad_348ef0de-f8bf-405f-a2b9-e8193636c87b","C:\ProgramData\Microsoft\Windows\WER\ReportArchive","03-08-2026 09:27:10"
"AppCrash_mmc.exe_6c393659333bf5d974ff6fe506bdb5ab1cf25a9_7afc7eab_a21a48c9-acd0-4ea0-a75d-20f9394a689d","C:\ProgramData\Microsoft\Windows\WER\ReportArchive","14-08-2026 14:17:17"
"AppCrash_mmc.exe_cbfc77bdff47d2a7cc1ccfb0e4261b7d155d79_2039546f_f2b42396-892b-4631-b492-7a886e74c7c5","C:\ProgramData\Microsoft\Windows\WER\ReportArchive","26-05-2026 14:48:40"
"AppCrash_MsMpEng.exe_2b8b27ad72a997d91cc6b1e118d5898f6e3ee48_316246f6_4cb6cdf7-34cc-48c4-a6d4-2aa3afe20753","C:\ProgramData\Microsoft\Windows\WER\ReportArchive","18-08-2026 14:12:03"
