"Name","Id","Path","StartTime","CPU_s","WorkingSetMB"
"AggregatorHost","9360","C:\Windows\System32\AggregatorHost.exe","18-08-2026 14:30:58","2.9375","4.7"
"ai","29196","C:\Program Files\Microsoft Office\root\vfs\ProgramFilesCommonX64\Microsoft Shared\Office16\AI\ai.exe","19-08-2026 14:54:05","0.625","24"
"AppActions","16788","C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\AppActions.exe","18-08-2026 14:33:49","3.484375","6"
"ApplicationFrameHost","21528","C:\Windows\system32\ApplicationFrameHost.exe","18-08-2026 14:32:51","3.25","5.2"
"backgroundTaskHost","12564","C:\Windows\system32\backgroundTaskHost.exe","19-08-2026 15:01:38","0.78125","8.8"
"backgroundTaskHost","13856","C:\Windows\system32\backgroundTaskHost.exe","19-08-2026 11:34:53","1.421875","11.4"
"backgroundTaskHost","26816","C:\Windows\system32\backgroundTaskHost.exe","19-08-2026 14:09:05","0.1875","0.5"
"BtSystem.Service","7088","C:\Program Files\Seagull\BarTender 11.5\BtSystem.Service.exe","18-08-2026 14:30:56","1964.375","104.8"
"chrome","4932","C:\Program Files\Google\Chrome\Application\chrome.exe","19-08-2026 10:35:06","0.359375","3.9"
"chrome","5280","C:\Program Files\Google\Chrome\Application\chrome.exe","19-08-2026 10:35:20","1.234375","18.3"
"chrome","5984","C:\Program Files\Google\Chrome\Application\chrome.exe","19-08-2026 10:37:10","0.546875","5.5"
"chrome","10048","C:\Program Files\Google\Chrome\Application\chrome.exe","19-08-2026 10:35:07","1.71875","9.2"
"chrome","11584","C:\Program Files\Google\Chrome\Application\chrome.exe","19-08-2026 10:35:07","15.984375","101.1"
"chrome","15712","C:\Program Files\Google\Chrome\Application\chrome.exe","19-08-2026 10:35:06","67.3125","70.7"
"chrome","23812","C:\Program Files\Google\Chrome\Application\chrome.exe","19-08-2026 10:35:07","1.75","7.1"
"chrome","27028","C:\Program Files\Google\Chrome\Application\chrome.exe","19-08-2026 10:37:00","2.671875","13.6"
"chrome","29336","C:\Program Files\Google\Chrome\Application\chrome.exe","19-08-2026 10:35:07","9.578125","28"
"chrome","31580","C:\Program Files\Google\Chrome\Application\chrome.exe","19-08-2026 10:35:07","14.046875","54.5"
"claude","11432","C:\Users\arjo5004\AppData\Local\AnthropicClaude\app-1.32885.1\claude.exe","19-08-2026 12:24:16","5.125","17.1"
"claude","12172","C:\Users\arjo5004\AppData\Local\AnthropicClaude\app-1.32885.1\claude.exe","19-08-2026 12:24:22","0.84375","5.6"
"claude","12744","C:\Users\arjo5004\AppData\Local\AnthropicClaude\app-1.32885.1\claude.exe","19-08-2026 12:24:15","0.09375","2.5"
"claude","17888","C:\Users\arjo5004\AppData\Local\AnthropicClaude\app-1.32885.1\claude.exe","19-08-2026 12:24:22","0.640625","3.8"
"claude","26848","C:\Users\arjo5004\AppData\Local\AnthropicClaude\app-1.32885.1\claude.exe","19-08-2026 12:24:14","156.640625","63.5"
