"Name","DisplayName","State","StartMode","StartName","PathName","ProcessId"
"ADPSvc","Aggregated Data Platform Service","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p","0"
"ALG","Application Layer Gateway Service","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\System32\alg.exe","0"
"AppIDSvc","Application Identity","Running","Manual","NT Authority\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p","7988"
"Appinfo","Application Information","Running","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p","14296"
"AppMgmt","Application Management","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p","0"
"AppReadiness","App Readiness","Stopped","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k AppReadiness -p","0"
"AppVClient","Microsoft App-V Client","Stopped","Disabled","LocalSystem","C:\Windows\system32\AppVClient.exe","0"
"AppXSvc","AppX Deployment Service (AppXSVC)","Stopped","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k wsappx -p","0"
"ApxSvc","Windows Virtual Audio Device Proxy Service","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalService -p","0"
"AssignedAccessManagerSvc","AssignedAccessManager Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k AssignedAccessManagerSvc","0"
"AudioEndpointBuilder","Windows Audio Endpoint Builder","Running","Auto","LocalSystem","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p","3864"
"Audiosrv","Windows Audio","Running","Auto","NT AUTHORITY\LocalService","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p","4036"
"autotimesvc","Cellular Time","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k autoTimeSvc","0"
"AxInstSV","ActiveX Installer (AxInstSV)","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k AxInstSVGroup","0"
"AzureAttestService","AzureAttestService","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k AzureAttestService","4736"
"BarTender Integration Service","BarTender Integration Service","Running","Auto","LocalSystem","""C:\Program Files\Seagull\BarTender 11.5\Integration.Service.exe"" /Service  /InstanceName=""Service""","24048"
"BarTender Licensing Service","BarTender Licensing Service","Running","Auto","LocalSystem","""C:\Program Files\Seagull\BarTender 11.5\Licensing.Service.exe"" /Service  /InstanceName=""LIND55MBVC4""","4604"
"BarTender Print Scheduler","BarTender Print Scheduler","Running","Auto","LocalSystem","""C:\Program Files\Seagull\BarTender 11.5\PrintScheduler.Service.exe"" /Service  /InstanceName=""Service""","3340"
"BarTender System Service","BarTender System Service","Running","Auto","LocalSystem","""C:\Program Files\Seagull\BarTender 11.5\BtSystem.Service.exe""","7088"
"BDESVC","BitLocker Drive Encryption Service","Running","Manual","localSystem","C:\Windows\System32\svchost.exe -k netsvcs -p","532"
"BFE","Base Filtering Engine","Running","Auto","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p","4320"
"BITS","Background Intelligent Transfer Service","Running","Auto","LocalSystem","C:\Windows\System32\svchost.exe -k netsvcs -p","23884"
"BrokerInfrastructure","Background Tasks Infrastructure Service","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k DcomLaunch -p","1580"
